순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김웅빈	키움	0.429	10	15	14	4	6	0	0	1	9	4	0	1
2	윤석민	키움	0.334	92	402	341	72	114	15	0	19	186	80	0	6
3	고종욱	키움	0.334	133	566	527	92	176	22	9	8	240	72	1	5
4	서건창	키움	0.325	140	646	560	111	182	30	7	7	247	63	3	4
5	박정음	키움	0.309	98	263	223	45	69	5	3	4	92	26	5	2
6	이택근	키움	0.309	127	460	398	64	123	19	1	8	168	65	0	6
7	김민성	키움	0.306	141	579	510	76	156	39	5	17	256	90	1	12
8	대니돈	키움	0.295	129	497	417	65	123	33	1	16	206	70	1	4
9	채태인	키움	0.286	124	417	370	29	106	14	3	7	147	72	0	9
10	김지수	키움	0.286	81	106	91	16	26	5	0	3	40	9	4	1
11	김하성	키움	0.281	144	599	526	92	148	29	7	20	251	84	2	5
12	유재신	키움	0.258	93	74	62	20	16	0	0	0	16	6	2	0
13	임병욱	키움	0.249	104	265	233	43	58	11	1	8	95	24	6	0
14	박동원	키움	0.248	127	454	411	44	102	25	1	14	171	70	6	3
15	지재옥	키움	0.231	7	17	13	2	3	0	0	1	6	1	0	0
16	홍성갑	키움	0.226	44	68	62	4	14	0	1	0	16	7	0	0
17	주효상	키움	0.222	12	19	18	3	4	1	0	0	5	3	0	0
18	장시윤	키움	0.200	9	14	10	3	2	0	0	0	2	0	0	0
19	강지광	키움	0.197	40	80	66	10	13	2	0	1	18	7	1	1
20	장영석	키움	0.192	23	33	26	6	5	2	0	0	7	3	0	0
21	김재현	키움	0.181	56	82	72	8	13	2	0	0	15	8	2	0
22	허정협	키움	0.176	13	20	17	0	3	0	0	0	3	1	0	0
23	박윤	키움	0.091	7	12	11	0	1	0	0	0	1	0	0	0
24	김민준	키움	0.083	20	13	12	4	1	0	0	0	1	0	0	0
25	김세현	키움	-	2	0	0	0	0	0	0	0	0	0	0	0
25	김택형	키움	-	1	1	0	0	0	0	0	0	0	0	0	0
25	마정길	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
25	오주원	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
25	이정훈	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
