순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	정진호	두산	0.375	31	32	24	9	9	0	1	0	11	3	0	0
2	박건우	두산	0.335	132	540	484	95	162	36	4	20	266	83	4	5
3	김재환	두산	0.325	134	568	492	107	160	32	3	37	309	124	0	5
4	민병헌	두산	0.325	134	579	511	98	166	31	4	16	253	87	1	4
5	양의지	두산	0.319	108	392	332	66	106	17	0	22	189	66	1	7
6	오재일	두산	0.316	105	455	380	69	120	20	2	27	225	92	2	7
6	이원석	두산	0.316	7	22	19	3	6	3	0	2	15	7	0	1
8	김재호	두산	0.310	137	496	416	69	129	27	3	7	183	78	5	13
9	에반스	두산	0.308	118	481	400	69	123	31	0	24	226	81	0	7
10	류지혁	두산	0.288	90	134	118	34	34	5	0	3	48	9	2	1
11	허경민	두산	0.286	144	609	538	96	154	24	4	7	207	81	6	2
12	최주환	두산	0.281	85	182	160	21	45	11	0	2	62	22	2	4
13	국해성	두산	0.278	58	174	151	28	42	11	0	4	65	24	0	1
14	조수행	두산	0.276	66	29	29	16	8	0	0	0	8	3	0	0
15	오재원	두산	0.272	122	484	416	68	113	18	1	5	148	58	3	6
16	고영민	두산	0.250	8	5	4	1	1	1	0	0	2	1	0	0
16	홍성흔	두산	0.250	17	45	40	4	10	2	0	0	12	5	0	0
18	정수빈	두산	0.242	114	305	269	49	65	7	2	2	82	20	4	1
19	최용제	두산	0.222	4	11	9	0	2	0	0	0	2	1	1	0
20	박세혁	두산	0.209	87	210	172	26	36	5	1	5	58	23	11	3
21	이우성	두산	0.200	2	5	5	0	1	0	0	0	1	0	0	0
22	김인태	두산	0.167	14	19	18	0	3	1	0	0	4	3	0	0
22	최재훈	두산	0.167	22	22	18	1	3	1	0	0	4	4	0	1
24	서예일	두산	0.105	31	21	19	3	2	0	0	0	2	0	0	0
25	강동연	두산	-	3	0	0	0	0	0	0	0	0	0	0	0
25	고봉재	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	김성배	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	이현승	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
25	이현호	두산	-	4	0	0	0	0	0	0	0	0	0	0	0
25	정진철	두산	0.000	2	1	1	0	0	0	0	0	0	0	0	0
