순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김태진	NC	0.500	2	2	2	1	1	0	0	0	1	0	0	0
2	박광열	NC	0.400	13	15	15	0	6	0	0	0	6	0	0	0
3	박민우	NC	0.343	121	515	435	84	149	16	6	3	186	55	10	7
4	조영훈	NC	0.335	109	207	179	29	60	14	0	5	89	35	1	3
5	모창민	NC	0.331	63	147	133	16	44	8	0	5	67	20	1	3
6	테임즈	NC	0.321	123	529	436	118	140	30	3	40	296	121	0	7
7	나성범	NC	0.309	144	653	572	116	177	37	2	22	284	113	1	4
8	박석민	NC	0.307	126	506	427	77	131	20	0	32	247	104	2	4
9	손시헌	NC	0.305	110	403	341	36	104	21	2	5	144	39	10	1
10	이종욱	NC	0.305	134	517	453	73	138	24	4	5	185	57	4	5
11	이호준	NC	0.298	119	472	399	46	119	20	0	21	202	87	2	4
12	김종호	NC	0.295	93	137	122	26	36	2	0	0	38	7	1	0
13	이상호	NC	0.280	15	27	25	1	7	2	0	0	9	1	0	0
14	권희동	NC	0.268	14	47	41	4	11	0	0	1	14	9	0	0
15	김성욱	NC	0.265	130	348	306	60	81	15	1	15	143	51	7	2
16	김준완	NC	0.261	122	325	253	60	66	7	1	1	78	12	2	1
17	김태군	NC	0.232	134	395	340	37	79	15	0	1	97	30	20	4
18	지석훈	NC	0.219	141	394	351	34	77	14	0	9	118	54	6	6
19	용덕한	NC	0.212	88	116	104	16	22	3	0	2	31	7	2	1
20	도태훈	NC	0.167	6	7	6	1	1	0	0	0	1	0	0	0
20	조평호	NC	0.167	3	7	6	1	1	0	0	0	1	0	0	0
22	이재율	NC	0.154	32	13	13	9	2	0	0	0	2	0	0	0
23	강민국	NC	0.130	24	26	23	2	3	1	0	1	7	1	1	0
24	윤병호	NC	0.111	11	9	9	3	1	0	0	1	4	3	0	0
25	황윤호	NC	0.083	33	12	12	7	1	0	0	0	1	2	0	0
26	강구성	NC	0.000	2	3	3	0	0	0	0	0	0	0	0	0
26	구창모	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
26	김선규	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
26	김진성	NC	-	3	0	0	0	0	0	0	0	0	0	0	0
26	김학성	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
