순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이동원	두산		1	0	0	0	0	-	0	0	0	2	0	0	2	2	
2	이영하	두산	2.38	2	1	0	0	0	1.000	11.3	10	0	8	1	6	7	3	1.59
3	플렉센	두산	3.75	2	2	0	0	0	1.000	12	13	1	2	1	12	5	5	1.25
4	박치국	두산	3.86	3	0	0	0	0	-	2.3	2	0	3	0	0	1	1	2.14
5	이현승	두산	4.15	5	1	0	0	0	1.000	4.3	4	0	3	0	3	2	2	1.62
6	알칸타라	두산	5.73	2	1	1	0	0	0.500	11	18	1	2	1	7	7	7	1.82
7	윤명준	두산	6.00	4	0	0	0	2	-	6	7	1	0	0	5	4	4	1.17
8	함덕주	두산	6.75	4	0	0	0	1	-	4	4	0	2	0	3	3	3	1.50
9	이용찬	두산	9.00	1	0	0	0	0	-	6	6	1	1	0	6	6	6	1.17
10	이형범	두산	10.80	3	0	1	1	0	0.000	3.3	7	3	1	0	2	4	4	2.40
11	유희관	두산	11.25	1	0	1	0	0	0.000	4	10	1	1	0	2	5	5	2.75
12	최원준	두산	11.81	4	0	0	0	0	-	5.3	9	0	1	1	4	7	7	1.88
13	박신지	두산	13.50	1	0	0	0	0	-	2	6	0	0	0	3	3	3	3.00
14	채지선	두산	27.00	1	0	0	0	0	-	0.3	1	0	1	0	1	1	1	6.00
