순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박진형	롯데	0.00	5	0	0	0	0	-	4.3	4	0	1	0	5	0	0	1.15
1	오현택	롯데	0.00	4	2	0	0	0	1.000	3.6	3	0	0	0	2	0	0	0.82
3	스트레일리	롯데	1.42	2	1	0	0	0	1.000	12.6	6	1	3	0	15	2	2	0.71
4	구승민	롯데	2.25	4	1	0	0	1	1.000	4	2	1	0	0	2	1	1	0.50
4	김원중	롯데	2.25	4	1	0	0	0	1.000	4	1	1	1	0	4	1	1	0.50
6	박세웅	롯데	3.72	2	0	1	0	0	0.000	9.6	11	0	4	0	7	6	4	1.55
7	서준원	롯데	4.09	2	1	0	0	0	1.000	11	10	1	5	0	4	6	5	1.36
8	최영환	롯데	7.71	2	0	0	0	0	-	2.3	5	1	1	1	0	2	2	2.57
9	김대우	롯데	8.10	3	0	0	0	0	-	3.3	3	0	2	0	2	3	3	1.50
10	노경은	롯데	9.00	1	0	0	0	0	-	5	9	1	1	0	3	5	5	2.00
10	송승준	롯데	9.00	1	0	0	0	0	-	2	3	1	0	0	0	2	2	1.50
10	진명호	롯데	9.00	4	0	0	0	1	-	4	3	2	2	0	3	4	4	1.25
13	박시영	롯데	12.00	3	0	0	0	0	-	3	5	1	2	0	2	4	4	2.33
14	장원삼	롯데	15.00	1	0	1	0	0	0.000	3	10	0	1	0	0	5	5	3.67
15	고효준	롯데	27.00	2	0	0	0	0	-	1	3	1	1	0	1	3	3	4.00
