순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	류희운	KT		1	0	1	0	0	0.000	0	1	1	0	0	0	1	1	
2	배제성	KT	1.35	2	0	0	0	0	-	13.3	15	0	2	0	8	2	2	1.28
3	주권	KT	2.57	5	0	0	0	1	-	7	9	1	0	0	4	2	2	1.29
4	하준호	KT	3.00	3	0	0	0	0	-	3	1	0	3	0	5	2	1	1.33
5	데스파이네	KT	3.27	2	0	0	0	0	-	11	10	0	1	1	14	4	4	1.00
6	소형준	KT	3.60	1	1	0	0	0	1.000	5	5	0	1	0	2	2	2	1.20
7	손동현	KT	5.40	2	0	0	0	0	-	1.6	2	0	2	0	1	1	1	2.40
8	쿠에바스	KT	5.73	2	0	1	0	0	0.000	11	10	2	2	3	9	7	7	1.09
9	전유수	KT	5.79	4	0	0	0	1	-	4.6	3	1	3	0	1	3	3	1.29
10	이대은	KT	9.00	5	0	2	0	0	0.000	6	10	2	1	0	3	8	6	1.83
11	김민	KT	15.75	1	0	0	0	0	-	4	10	2	1	0	1	7	7	2.75
12	김재윤	KT	16.88	3	0	1	0	0	0.000	2.6	5	1	4	0	0	5	5	3.38
13	김민수	KT	18.00	3	0	1	0	0	0.000	2	5	1	1	0	1	4	4	3.00
14	이상화	KT	21.60	4	0	1	0	1	0.000	1.6	5	1	3	0	1	4	4	4.80
