순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	여건욱	LG	0.00	3	0	0	0	0	-	4.3	1	0	0	1	1	0	0	0.23
1	이민호	LG	0.00	2	0	0	0	0	-	4	3	0	0	0	0	1	0	0.75
1	정우영	LG	0.00	3	1	0	0	1	1.000	4	0	0	2	0	3	0	0	0.50
1	진해수	LG	0.00	4	0	0	0	2	-	2	2	0	2	0	0	0	0	2.00
5	임찬규	LG	1.50	1	1	0	0	0	1.000	6	5	0	0	0	7	1	1	0.83
6	이상규	LG	1.80	5	1	0	0	0	1.000	5	5	0	2	0	6	1	1	1.40
7	최동환	LG	2.25	3	0	0	0	0	-	4	3	0	1	0	2	1	1	1.00
8	차우찬	LG	3.75	2	2	0	0	0	1.000	12	9	2	4	0	15	5	5	1.08
9	김대유	LG	3.86	2	0	0	0	0	-	2.3	2	0	0	0	1	1	1	0.86
10	고우석	LG	6.75	2	0	0	1	0	-	1.3	2	0	0	1	2	1	1	1.50
10	정찬헌	LG	6.75	1	0	1	0	0	0.000	4	7	1	0	0	3	5	3	1.75
12	윌슨	LG	7.84	2	0	1	0	0	0.000	10.3	11	2	6	0	9	9	9	1.65
13	김윤식	LG	10.80	3	0	0	0	0	-	3.3	6	1	0	1	3	4	4	1.80
14	송은범	LG	13.50	2	0	1	0	0	0.000	3.3	11	1	2	0	0	5	5	3.90
15	김대현	LG	18.00	1	0	0	0	0	-	1	1	0	2	0	1	2	2	3.00
15	문광은	LG	18.00	2	0	0	0	0	-	2	4	1	1	0	0	4	4	2.50
17	켈리	LG	22.50	1	0	0	0	0	-	2	8	0	0	0	1	6	5	4.00
