순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	노성호	삼성	0.00	4	0	0	0	2	-	3.3	3	0	2	1	1	0	0	1.50
1	이승현	삼성	0.00	4	0	0	0	1	-	4	1	0	1	0	4	0	0	0.50
1	임현준	삼성	0.00	4	0	0	0	0	-	2	4	0	1	0	1	1	0	2.50
1	장필준	삼성	0.00	4	0	0	0	0	-	4.6	0	0	2	0	3	0	0	0.43
1	최지광	삼성	0.00	5	0	0	0	1	-	4.6	3	0	4	0	4	0	0	1.50
6	김대우	삼성	2.70	3	0	0	0	1	-	3.3	1	0	4	0	2	1	1	1.50
7	우규민	삼성	3.00	3	0	0	0	0	-	3	2	1	0	0	2	1	1	0.67
7	원태인	삼성	3.00	2	1	0	0	0	1.000	6	7	1	3	2	3	2	2	1.67
9	최채흥	삼성	3.27	2	2	0	0	0	1.000	11	7	0	7	0	12	4	4	1.27
10	뷰캐넌	삼성	3.46	2	1	1	0	0	0.500	13	8	1	2	1	10	5	5	0.77
11	라이블리	삼성	4.50	2	0	2	0	0	0.000	12	10	3	4	3	10	6	6	1.17
12	백정현	삼성	7.20	2	0	2	0	0	0.000	10	14	5	2	0	9	12	8	1.60
13	홍정우	삼성	15.00	3	0	0	0	0	-	3	8	0	2	1	6	6	5	3.33
