순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김태균	한화	0.315	73	271	254	25	80	11	0	10	121	34	0	0
2	호잉	한화	0.306	142	590	529	85	162	47	2	30	303	110	0	5
3	정근우	한화	0.304	102	425	375	63	114	24	1	11	173	57	1	3
4	송광민	한화	0.297	113	460	434	63	129	24	0	18	207	79	0	4
5	이성열	한화	0.295	131	528	485	76	143	21	1	34	268	102	1	2
6	이용규	한화	0.293	134	575	491	82	144	14	1	1	163	36	8	5
7	강경학	한화	0.278	77	289	245	42	68	11	1	5	96	27	1	1
8	지성준	한화	0.275	99	224	207	22	57	7	0	7	85	29	2	1
9	최재훈	한화	0.262	128	341	298	36	78	17	0	1	98	27	6	2
10	김회성	한화	0.259	58	102	85	15	22	5	0	4	39	17	3	0
11	하주석	한화	0.254	141	517	484	67	123	20	3	9	176	52	1	0
12	양성우	한화	0.254	73	236	209	32	53	9	0	2	68	13	0	1
13	정은원	한화	0.249	98	227	201	33	50	5	3	4	73	20	2	1
14	백창수	한화	0.243	70	169	152	21	37	15	1	3	63	18	0	1
15	이동훈	한화	0.239	28	50	46	6	11	1	0	1	15	2	0	0
16	오선진	한화	0.226	56	148	133	14	30	4	0	1	37	9	3	0
17	김민하	한화	0.216	59	108	97	13	21	4	0	3	34	17	2	1
18	장진혁	한화	0.214	50	48	42	9	9	4	1	0	15	2	0	0
19	최진행	한화	0.213	57	154	136	14	29	3	0	7	53	13	0	0
20	김창혁	한화	0.200	6	10	10	1	2	1	0	0	3	0	0	0
20	박준혁	한화	0.200	4	5	5	0	1	1	0	0	2	0	0	0
22	김태연	한화	0.192	24	30	26	7	5	1	0	0	6	2	1	0
23	정경운	한화	0.067	22	16	15	1	1	0	0	0	1	2	0	1
24	강상원	한화	0.000	6	7	6	0	0	0	0	0	0	0	0	0
24	김인환	한화	0.000	4	6	6	0	0	0	0	0	0	0	0	0
24	송창식	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
24	안영명	한화	-	2	0	0	0	0	0	0	0	0	0	0	0
24	이도윤	한화	0.000	2	1	1	1	0	0	0	0	0	0	0	0
24	이동걸	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
24	장민재	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
