순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김종덕	키움	0.500	3	2	2	0	1	0	0	0	1	0	0	0
2	이정후	키움	0.355	109	520	459	81	163	34	2	6	219	57	3	8
3	박병호	키움	0.345	113	488	400	88	138	20	0	43	287	112	0	3
4	서건창	키움	0.340	37	160	141	28	48	12	0	0	60	15	2	2
5	샌즈	키움	0.314	25	93	86	17	27	1	1	12	66	37	0	1
6	송성문	키움	0.313	78	238	211	35	66	19	0	7	106	45	2	1
7	이택근	키움	0.308	104	356	308	40	95	25	1	4	134	52	3	4
8	김규민	키움	0.295	104	336	298	47	88	9	2	3	110	40	1	4
9	임병욱	키움	0.293	134	447	423	76	124	29	3	13	198	60	0	2
10	김하성	키움	0.288	129	576	511	95	147	27	4	20	242	84	1	5
11	김민성	키움	0.283	128	465	413	46	117	24	0	10	171	45	1	5
12	고종욱	키움	0.279	102	351	330	47	92	22	0	6	132	54	1	4
13	김혜성	키움	0.270	136	473	430	79	116	15	6	5	158	45	3	2
14	초이스	키움	0.258	96	397	349	55	90	19	0	17	160	61	0	5
15	허정협	키움	0.250	25	24	24	4	6	2	0	0	8	2	0	0
16	박동원	키움	0.248	39	128	117	19	29	3	0	6	50	17	2	0
17	김재현	키움	0.228	116	234	202	22	46	7	0	3	62	18	9	3
18	장영석	키움	0.224	93	221	196	24	44	15	0	7	80	25	0	0
19	주효상	키움	0.218	80	126	110	9	24	3	0	1	30	12	4	0
20	김태완	키움	0.197	29	74	66	5	13	2	0	1	18	5	0	1
21	김지수	키움	0.147	47	39	34	4	5	0	0	0	5	0	0	0
22	예진원	키움	0.143	5	7	7	2	1	0	0	0	1	0	0	0
23	박정음	키움	0.063	16	17	16	1	1	0	0	1	4	1	0	0
24	김성민	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
24	브리검	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
24	조상우	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
24	홍성갑	키움	0.000	6	8	8	1	0	0	0	0	0	0	0	0
