순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	백상원	삼성	0.500	4	8	6	1	3	0	0	0	3	2	0	0
2	이지영	삼성	0.343	90	203	178	31	61	10	0	2	77	19	6	0
3	송준석	삼성	0.333	4	3	3	1	1	0	0	0	1	0	0	0
4	구자욱	삼성	0.333	116	529	478	100	159	26	5	20	255	84	1	2
5	러프	삼성	0.330	137	597	506	97	167	32	4	33	306	125	0	8
6	이원석	삼성	0.301	128	543	479	74	144	30	1	20	236	93	0	5
7	김헌곤	삼성	0.300	141	586	513	77	154	26	2	11	217	71	5	4
8	박해민	삼성	0.299	144	649	576	114	172	30	10	9	249	68	8	6
9	최영진	삼성	0.294	61	140	126	13	37	7	0	4	56	18	2	2
10	박한이	삼성	0.284	114	392	342	47	97	16	0	10	143	43	6	1
11	최원제	삼성	0.273	8	13	11	1	3	0	0	0	3	0	0	0
12	강민호	삼성	0.269	129	477	427	46	115	14	0	22	195	71	0	7
13	김상수	삼성	0.263	122	499	453	63	119	13	1	10	164	50	8	3
14	강한울	삼성	0.259	83	209	193	20	50	5	2	0	59	8	3	0
15	백승민	삼성	0.258	14	32	31	3	8	2	0	0	10	5	0	0
16	안주형	삼성	0.250	15	8	8	2	2	0	0	0	2	1	0	0
17	배영섭	삼성	0.245	69	168	147	15	36	6	0	0	42	13	2	0
18	김성훈	삼성	0.243	110	212	185	24	45	9	3	0	60	24	3	2
19	손주인	삼성	0.238	98	297	265	26	63	10	0	4	85	28	10	4
20	박찬도	삼성	0.233	54	82	73	13	17	4	1	0	23	5	1	0
21	조동찬	삼성	0.222	28	59	54	5	12	1	0	1	16	2	1	0
22	이성곤	삼성	0.188	9	19	16	1	3	0	0	0	3	0	0	0
23	김민수	삼성	0.167	8	6	6	0	1	0	0	0	1	0	0	0
23	김호재	삼성	0.167	10	7	6	1	1	0	0	0	1	0	1	0
25	정병곤	삼성	0.067	6	16	15	1	1	0	0	0	1	2	0	1
26	권정웅	삼성	0.000	6	8	8	0	0	0	0	0	0	0	0	0
26	김성윤	삼성	0.000	1	2	2	0	0	0	0	0	0	0	0	0
26	김응민	삼성	0.000	1	1	1	0	0	0	0	0	0	0	0	0
26	김재현	삼성	0.000	5	1	1	0	0	0	0	0	0	0	0	0
26	장필준	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
