순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	유재신	KIA	0.424	46	40	33	19	14	3	1	1	22	8	0	0
2	안치홍	KIA	0.342	130	549	494	88	169	38	1	23	278	118	0	9
3	김주찬	KIA	0.340	121	471	429	71	146	23	0	18	223	93	2	10
4	최형우	KIA	0.339	143	609	528	92	179	34	1	25	290	103	0	8
5	버나디나	KIA	0.310	131	590	513	106	159	25	3	20	250	70	3	1
6	류승현	KIA	0.307	35	85	75	9	23	3	1	1	31	13	1	1
7	이명기	KIA	0.302	120	502	447	88	135	28	6	4	187	42	11	1
8	정성훈	KIA	0.295	88	205	183	22	54	11	0	4	77	28	0	1
9	김선빈	KIA	0.295	127	492	424	73	125	17	2	4	158	49	6	5
10	이범호	KIA	0.280	101	380	332	41	93	7	0	20	160	69	0	2
11	백용환	KIA	0.277	34	57	47	7	13	1	0	0	14	4	1	0
12	최원준	KIA	0.272	101	331	302	46	82	14	1	4	110	32	4	1
13	나지완	KIA	0.271	114	379	317	50	86	18	0	26	182	78	0	5
14	유민상	KIA	0.271	31	58	48	9	13	2	1	3	26	14	0	2
15	홍재호	KIA	0.263	56	87	76	16	20	6	0	1	29	9	3	0
16	최정민	KIA	0.253	57	95	83	17	21	2	0	2	29	6	4	0
17	한승택	KIA	0.247	61	101	89	10	22	6	0	3	37	15	3	0
18	김민식	KIA	0.245	125	365	310	53	76	9	3	6	109	37	11	2
19	박준태	KIA	0.228	85	150	123	32	28	5	1	5	50	24	5	0
20	서동욱	KIA	0.204	32	56	49	3	10	3	0	0	13	2	0	1
21	이창진	KIA	0.172	20	30	29	5	5	1	0	0	6	0	0	0
22	신범수	KIA	0.160	19	26	25	0	4	2	1	0	8	4	0	1
23	황윤호	KIA	0.158	82	62	57	11	9	1	0	0	10	4	2	0
24	김주형	KIA	0.125	6	8	8	0	1	0	0	0	1	0	0	0
24	이영욱	KIA	0.125	14	16	16	0	2	0	0	0	2	1	0	0
26	김석환	KIA	0.000	1	2	2	0	0	0	0	0	0	0	0	0
26	김세현	KIA	-	5	0	0	0	0	0	0	0	0	0	0	0
26	김유신	KIA	-	2	0	0	0	0	0	0	0	0	0	0	0
26	김윤동	KIA	-	2	0	0	0	0	0	0	0	0	0	0	0
26	김지성	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
