순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김태진	NC	0.355	20	35	31	5	11	0	0	1	14	3	1	0
2	박민우	NC	0.324	115	460	411	68	133	22	5	5	180	33	3	4
3	나성범	NC	0.318	144	620	556	110	177	36	3	23	288	91	0	5
4	이원재	NC	0.304	77	150	138	12	42	10	0	5	67	19	0	2
5	노진혁	NC	0.283	125	458	420	52	119	21	4	11	181	42	1	2
6	권희동	NC	0.283	104	391	343	43	97	19	1	8	142	57	5	4
7	모창민	NC	0.279	81	314	287	38	80	10	1	17	143	62	0	4
8	박헌욱	NC	0.273	10	23	22	1	6	2	0	1	11	3	0	0
9	김성욱	NC	0.260	111	358	323	49	84	13	2	13	140	45	2	3
10	스크럭스	NC	0.257	142	571	501	75	129	35	0	26	242	97	0	3
11	최준석	NC	0.255	93	179	153	7	39	3	0	4	54	24	0	2
12	박석민	NC	0.255	103	375	318	40	81	14	1	16	145	55	0	3
13	이상호	NC	0.251	114	204	187	32	47	2	0	0	49	8	7	0
14	강민국	NC	0.250	6	4	4	0	1	0	0	0	1	0	0	0
15	강진성	NC	0.235	45	75	68	5	16	3	0	0	19	1	2	1
16	김찬형	NC	0.232	63	160	142	24	33	5	0	1	41	9	1	1
17	이종욱	NC	0.230	43	128	122	12	28	7	0	1	38	8	1	1
18	도태훈	NC	0.229	26	42	35	5	8	0	0	1	11	5	0	0
19	이우성	NC	0.226	71	199	177	24	40	9	0	4	61	24	1	1
20	강구성	NC	0.200	4	5	5	0	1	1	0	0	2	1	0	0
21	윤수강	NC	0.192	44	79	73	8	14	6	0	1	23	8	1	0
22	손시헌	NC	0.188	67	150	128	12	24	4	0	2	34	14	1	1
23	신진호	NC	0.182	20	25	22	1	4	0	0	0	4	1	0	0
23	윤병호	NC	0.182	14	37	33	3	6	1	0	0	7	0	1	0
25	지석훈	NC	0.181	67	105	94	9	17	2	0	1	22	8	0	3
26	정범모	NC	0.179	103	219	190	20	34	9	0	4	55	18	7	3
27	이재율	NC	0.171	33	45	41	8	7	1	1	0	10	1	0	0
28	김형준	NC	0.160	60	89	81	6	13	1	0	0	14	2	0	0
29	박광열	NC	0.160	27	30	25	3	4	0	0	0	4	1	1	0
30	오영수	NC	0.133	11	16	15	0	2	0	0	0	2	0	0	0
