순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	양원혁	LG	0.400	7	6	5	3	2	0	0	0	2	0	0	0
2	김현수	LG	0.362	117	511	453	95	164	39	2	20	267	101	0	10
3	이천웅	LG	0.340	112	405	359	61	122	22	3	2	156	39	2	2
4	가르시아	LG	0.339	50	206	183	27	62	9	0	8	95	34	0	6
5	문성주	LG	0.333	5	3	3	1	1	0	0	0	1	0	0	0
6	채은성	LG	0.331	139	578	529	78	175	36	2	25	290	119	0	5
7	이형종	LG	0.316	118	485	437	83	138	27	0	13	204	42	5	0
8	박용택	LG	0.303	134	583	524	89	159	38	1	15	244	76	0	7
9	유강남	LG	0.296	132	465	425	53	126	33	0	19	216	66	2	1
10	서상우	LG	0.290	51	84	69	10	20	0	0	2	26	14	0	2
11	오지환	LG	0.278	144	617	533	93	148	26	2	11	211	71	12	6
12	양석환	LG	0.263	140	519	483	53	127	27	0	22	220	82	1	5
13	정주현	LG	0.261	115	339	303	48	79	14	2	6	115	31	6	1
14	백승현	LG	0.250	5	8	8	1	2	0	0	0	2	1	0	0
15	김용의	LG	0.233	114	185	159	28	37	2	0	0	39	13	7	3
16	임훈	LG	0.229	54	88	83	10	19	3	0	2	28	7	2	0
17	정상호	LG	0.223	70	128	112	11	25	4	0	1	32	9	3	0
18	김재율	LG	0.222	25	41	36	5	8	3	0	0	11	3	0	0
19	안익훈	LG	0.220	62	135	123	13	27	4	0	0	31	10	2	1
20	윤대영	LG	0.217	11	23	23	0	5	1	0	0	6	3	0	0
21	윤진호	LG	0.208	102	61	53	13	11	3	0	0	14	4	4	0
22	박지규	LG	0.170	26	53	47	6	8	2	0	1	13	5	2	1
23	문선재	LG	0.167	2	6	6	0	1	0	0	0	1	0	0	0
23	홍창기	LG	0.167	12	25	18	1	3	2	0	0	5	0	0	0
25	김기연	LG	-	2	0	0	0	0	0	0	0	0	0	0	0
25	장시윤	LG	0.000	8	2	2	2	0	0	0	0	0	0	0	0
