순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	류재인	NC	0.00	1	0	0	0	0	-	0.6	1	0	0	0	0	0	0	1.50
2	이형범	NC	3.07	14	1	2	0	0	0.333	29.3	26	2	13	5	14	12	10	1.33
3	해커	NC	3.42	26	12	7	0	0	0.632	160.3	159	14	29	14	97	64	61	1.17
4	김진성	NC	3.61	69	10	6	0	15	0.625	89.6	72	13	27	2	98	38	36	1.10
5	맨쉽	NC	3.67	21	12	4	0	0	0.750	112.6	112	7	33	7	86	51	46	1.29
6	임창민	NC	3.68	60	4	3	29	0	0.571	66	60	10	23	1	62	27	27	1.26
7	이민호	NC	4.06	60	5	1	3	6	0.833	88.6	88	10	30	8	86	46	40	1.33
8	원종현	NC	4.39	68	3	6	0	22	0.333	80	86	4	19	7	69	44	39	1.31
9	강윤구	NC	4.45	36	2	1	0	0	0.667	54.6	57	14	24	2	51	30	27	1.48
10	임정호	NC	4.45	59	1	0	0	7	1.000	30.3	30	3	14	2	33	19	15	1.45
11	장현식	NC	5.29	31	9	9	0	0	0.500	134.3	139	18	66	5	120	86	79	1.53
12	구창모	NC	5.32	31	7	10	0	0	0.412	115	138	18	50	5	118	80	68	1.63
13	윤수호	NC	5.36	40	2	1	0	1	0.667	47	41	3	30	4	42	31	28	1.51
14	이재학	NC	5.67	28	5	7	0	0	0.417	119	142	22	41	13	117	88	75	1.54
15	민태호	NC	6.23	7	0	0	0	0	-	8.6	10	1	3	2	7	6	6	1.50
16	정수민	NC	6.75	15	1	1	0	0	0.500	28	31	7	16	1	28	21	21	1.68
17	최금강	NC	7.33	39	5	3	0	0	0.625	89.6	111	15	34	12	51	79	73	1.62
18	배재환	NC	9.00	3	0	1	0	0	0.000	8	13	4	6	0	4	8	8	2.38
19	최성영	NC	9.53	7	0	0	0	0	-	11.3	17	4	7	2	8	12	12	2.12
