순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이민우	KIA	2.84	4	1	1	0	0	0.500	12.6	14	2	0	1	9	4	4	1.11
2	임기준	KIA	3.27	15	0	1	1	2	0.000	22	25	1	15	0	12	9	8	1.82
3	양현종	KIA	3.44	31	20	6	0	0	0.769	193.3	209	17	45	0	158	88	74	1.31
4	헥터	KIA	3.48	30	20	5	0	0	0.800	201.6	221	21	45	5	149	83	78	1.32
5	김명찬	KIA	3.60	6	0	0	0	1	-	5	5	0	2	0	2	2	2	1.40
6	임기영	KIA	3.65	23	8	6	0	0	0.571	118.3	138	9	18	6	73	54	48	1.32
7	임창용	KIA	3.78	51	8	6	7	9	0.571	50	51	3	22	5	58	22	21	1.46
8	팻딘	KIA	4.14	30	9	7	0	0	0.563	176	211	22	39	16	143	86	81	1.42
9	고효준	KIA	4.28	40	3	1	0	4	0.750	40	44	1	22	5	35	19	19	1.65
10	김윤동	KIA	4.59	65	7	4	11	6	0.636	80.3	70	10	47	5	66	41	41	1.46
11	김세현	KIA	5.40	48	1	5	18	7	0.167	50	65	4	15	2	47	31	30	1.60
12	심동섭	KIA	5.68	52	2	2	2	11	0.500	50.6	64	6	21	0	50	34	32	1.68
13	정용운	KIA	5.92	25	3	2	0	0	0.600	59.3	56	7	37	7	32	41	39	1.57
14	홍건희	KIA	6.41	31	1	1	0	0	0.500	59	83	5	21	2	41	44	42	1.76
15	박진태	KIA	6.55	38	0	1	3	2	0.000	57.6	76	5	19	10	24	45	42	1.65
16	박지훈	KIA	7.07	18	1	1	0	4	0.500	14	16	1	9	1	10	12	11	1.79
17	한승혁	KIA	7.15	36	1	1	1	3	0.500	39	46	4	23	1	42	32	31	1.77
18	김진우	KIA	7.93	14	2	6	0	0	0.250	36.3	52	5	23	7	21	33	32	2.06
19	박경태	KIA	9.00	3	0	0	0	0	-	4	7	0	3	0	3	6	4	2.50
20	손영민	KIA	10.80	15	0	1	0	4	0.000	13.3	26	4	3	1	9	16	16	2.18
21	정동현	KIA	11.57	1	0	1	0	0	0.000	2.3	5	1	2	0	2	3	3	3.00
22	남재현	KIA	11.74	9	0	0	0	0	-	7.6	16	1	9	0	8	11	10	3.26
23	김광수	KIA	11.76	19	1	0	0	0	1.000	20.6	39	6	3	3	10	31	27	2.03
24	최영필	KIA	20.25	2	0	0	0	0	-	1.3	5	0	0	1	1	3	3	3.75
25	배힘찬	KIA	29.70	2	0	1	0	0	0.000	3.3	12	3	0	0	4	11	11	3.60
26	김종훈	KIA	36.00	1	0	0	0	0	-	1	4	1	2	0	2	4	4	6.00
