순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	백인식	SK	2.41	11	0	0	2	2	-	18.6	15	0	5	4	10	5	5	1.07
2	신재웅	SK	3.19	32	0	1	2	4	0.000	31	23	3	15	0	29	11	11	1.23
3	박정배	SK	3.57	61	5	3	7	16	0.625	68	58	9	33	3	49	32	27	1.34
4	켈리	SK	3.60	30	16	7	0	0	0.696	190	204	16	45	11	189	85	76	1.31
5	서진용	SK	3.91	42	2	3	3	3	0.400	46	43	4	23	0	55	21	20	1.43
6	박종훈	SK	4.10	29	12	7	0	1	0.632	151.3	145	16	61	25	107	74	69	1.36
7	다이아몬드	SK	4.42	24	10	7	0	0	0.588	134.3	163	11	35	9	59	69	66	1.47
8	임준혁	SK	4.57	43	0	0	1	2	-	45.3	54	4	29	5	30	27	23	1.83
9	문승원	SK	5.33	29	6	12	0	0	0.333	155.3	181	25	54	11	86	98	92	1.51
10	김주한	SK	5.94	63	6	5	5	11	0.545	69.6	82	10	32	5	45	51	46	1.64
11	윤희상	SK	6.00	23	6	7	0	0	0.462	120	149	16	33	10	82	85	80	1.52
12	김태훈	SK	6.53	21	2	2	0	3	0.500	41.3	61	8	19	3	34	34	30	1.94
12	전유수	SK	6.53	18	0	0	0	1	-	20.6	28	1	13	3	20	16	15	1.98
14	박희수	SK	6.63	48	2	6	8	9	0.250	38	49	8	19	4	29	29	28	1.79
15	채병용	SK	6.84	43	6	4	0	6	0.600	50	62	8	15	3	43	40	38	1.54
16	문광은	SK	7.05	46	2	4	2	5	0.333	44.6	51	5	20	4	41	36	35	1.59
17	허건엽	SK	8.64	8	0	0	0	0	-	8.3	15	1	2	0	3	9	8	2.04
18	김정빈	SK	9.00	2	0	0	0	0	-	3	2	0	4	0	3	3	3	2.00
18	임치영	SK	9.00	1	0	0	0	0	-	1	3	0	0	0	1	1	1	3.00
18	정동윤	SK	9.00	2	0	0	0	0	-	3	5	1	1	1	1	3	3	2.00
21	김대유	SK	9.64	6	0	0	0	0	-	4.6	8	1	2	0	3	5	5	2.14
22	정영일	SK	10.13	9	0	0	0	0	-	8	12	3	6	1	2	12	9	2.25
23	김찬호	SK	11.81	5	0	0	0	0	-	5.3	10	0	5	1	6	7	7	2.81
24	이건욱	SK	33.75	2	0	0	0	0	-	1.3	4	1	3	0	1	5	5	5.25
