순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김경태	한화	1.42	19	1	0	0	6	1.000	12.6	12	0	9	2	17	3	2	1.66
2	정우람	한화	2.75	56	6	4	26	0	0.600	59	47	5	19	4	78	20	18	1.12
3	정재원	한화	3.43	14	0	2	0	1	0.000	21	23	0	11	5	9	12	8	1.62
4	오간도	한화	3.93	19	10	5	0	0	0.667	110	115	8	30	11	74	53	48	1.32
5	박정진	한화	3.94	55	3	2	1	7	0.600	48	38	6	24	3	51	28	21	1.29
6	박상원	한화	4.15	18	0	0	0	1	-	21.6	19	3	7	0	13	10	10	1.20
7	이동걸	한화	4.17	24	0	0	1	2	-	36.6	36	5	5	3	22	18	17	1.12
8	비야누에바	한화	4.18	20	5	7	0	0	0.417	112	108	12	23	5	68	58	52	1.17
9	송신영	한화	4.26	5	0	0	0	0	-	6.3	6	0	0	2	6	3	3	0.95
10	서균	한화	4.40	14	0	0	0	0	-	14.3	17	2	3	3	10	7	7	1.40
11	김재영	한화	4.54	20	5	7	0	0	0.417	85.3	101	9	19	12	51	51	43	1.41
12	심수창	한화	4.74	48	3	1	2	2	0.750	57	71	8	22	2	54	32	30	1.63
13	배영수	한화	5.06	25	7	8	0	0	0.467	128	155	17	29	13	86	82	72	1.44
14	윤규진	한화	5.22	36	8	7	0	2	0.533	119	138	19	44	4	93	71	69	1.53
15	안영명	한화	5.75	25	1	8	0	0	0.111	87.6	123	11	28	5	54	62	56	1.72
16	강승현	한화	5.87	31	0	1	0	1	0.000	38.3	42	4	15	0	40	26	25	1.49
17	권혁	한화	6.32	37	1	3	0	11	0.250	31.3	39	6	9	5	17	23	22	1.53
18	송은범	한화	6.51	13	0	4	1	0	0.000	37.3	45	4	23	3	15	30	27	1.82
19	송창식	한화	6.63	63	5	6	0	15	0.455	73.3	77	13	33	5	64	56	54	1.50
20	이태양	한화	7.17	16	3	6	0	0	0.333	59	79	12	26	2	29	49	47	1.78
21	장민재	한화	7.76	33	2	5	0	0	0.286	62.6	94	11	23	2	30	60	54	1.87
22	김범수	한화	8.71	15	0	4	0	0	0.000	31	43	7	24	3	16	30	30	2.16
23	김진영	한화	10.13	3	0	0	0	0	-	2.6	5	0	2	0	4	3	3	2.63
24	이충호	한화	13.50	21	1	1	0	1	0.500	11.3	21	3	12	3	8	18	17	2.91
25	김민우	한화	17.18	4	0	0	0	0	-	7.3	20	1	6	3	5	15	14	3.55
