순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	손동욱	키움	0.00	1	0	0	0	0	-	1	0	0	1	0	1	0	0	1.00
2	박승주	키움	3.00	1	0	0	1	0	-	3	0	0	3	1	0	1	1	1.00
3	밴헤켄	키움	3.77	24	8	7	0	0	0.533	138.3	140	13	42	2	139	68	58	1.32
4	김상수	키움	3.82	60	0	7	15	9	0.000	61.3	59	8	22	3	62	29	26	1.32
5	브리검	키움	4.38	24	10	6	0	0	0.625	144	166	17	26	13	98	77	70	1.33
6	최원태	키움	4.46	25	11	7	0	0	0.611	149.3	161	19	34	12	126	76	74	1.31
7	한현희	키움	4.47	38	5	6	5	5	0.455	106.6	105	14	17	17	79	61	53	1.14
8	신재영	키움	4.54	34	6	7	1	2	0.462	125	137	14	25	16	75	68	63	1.30
9	오주원	키움	4.76	57	2	7	1	18	0.222	73.6	96	10	15	2	56	44	39	1.51
9	하영민	키움	4.76	28	1	1	0	1	0.500	45.3	49	5	30	1	23	24	24	1.74
11	조상우	키움	4.87	13	5	3	0	2	0.625	44.3	53	3	15	1	45	25	24	1.53
12	김성민	키움	4.93	33	4	3	0	1	0.571	87.6	104	12	40	9	75	54	48	1.64
13	이영준	키움	5.40	10	1	0	0	0	1.000	8.3	10	0	4	2	4	5	5	1.68
14	이보근	키움	5.47	55	6	2	6	18	0.750	52.6	62	9	17	0	58	32	32	1.50
15	윤영삼	키움	5.62	28	1	4	1	0	0.200	49.6	67	8	17	0	46	31	31	1.69
16	김정인	키움	5.93	13	0	0	0	0	-	13.6	19	0	4	1	13	10	9	1.68
17	금민철	키움	6.33	36	4	4	0	3	0.500	54	81	3	33	3	42	40	38	2.11
18	박종윤	키움	6.75	1	0	0	0	0	-	4	4	0	4	0	2	3	3	2.00
19	정대현	키움	7.06	17	3	8	0	0	0.273	66.3	91	13	23	3	27	55	52	1.72
20	양훈	키움	7.16	7	2	1	0	1	0.667	16.3	24	1	5	2	5	13	13	1.78
21	김홍빈	키움	7.36	3	0	0	0	0	-	7.3	15	0	1	3	4	7	6	2.18
22	김해수	키움	9.00	1	0	0	0	0	-	1	1	0	1	2	1	1	1	2.00
23	황덕균	키움	9.60	13	0	1	0	0	0.000	15	26	4	3	2	5	16	16	1.93
24	박정준	키움	9.64	4	0	0	0	0	-	4.6	6	1	1	2	4	5	5	1.50
25	마정길	키움	10.45	7	0	0	0	0	-	10.3	14	3	4	1	7	12	12	1.74
26	오윤성	키움	11.74	6	0	1	0	0	0.000	7.6	9	0	9	1	4	10	10	2.35
27	김건태	키움	12.00	5	1	0	0	0	1.000	6	13	1	2	0	5	8	8	2.50
28	오설리반	키움	15.75	3	0	2	0	0	0.000	8	17	2	2	1	6	14	14	2.38
29	박주현	키움	34.71	2	0	0	0	0	-	2.3	9	1	3	0	0	9	9	5.14
