순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	고봉재	두산	0.00	1	0	0	0	0	-	1	2	0	1	0	0	0	0	3.00
1	성영훈	두산	0.00	1	0	0	0	0	-	1	0	0	1	0	0	0	0	1.00
1	장민익	두산	0.00	3	0	0	0	0	-	2	0	0	2	0	2	0	0	1.00
1	조승수	두산	-	1	0	0	0	0	-	0	0	0	0	2	0	0	0	-
5	장원준	두산	3.14	29	14	9	0	0	0.609	180.3	172	12	51	14	125	70	63	1.24
6	김강률	두산	3.44	70	7	2	7	12	0.778	89	89	6	32	3	73	39	34	1.36
7	함덕주	두산	3.67	35	9	8	0	2	0.529	137.3	128	8	64	4	139	61	56	1.40
8	이현승	두산	3.98	57	3	2	5	9	0.600	52	62	4	16	4	38	23	23	1.50
9	니퍼트	두산	4.06	30	14	8	0	0	0.636	179.6	175	20	77	10	161	88	81	1.40
10	김명신	두산	4.37	39	3	1	0	5	0.750	45.3	54	2	12	7	38	23	22	1.46
11	이용찬	두산	4.40	68	5	5	22	2	0.500	71.6	83	5	27	4	57	38	35	1.53
12	유희관	두산	4.53	30	11	6	0	1	0.647	188.6	228	20	41	10	106	104	95	1.43
13	보우덴	두산	4.64	17	3	5	0	0	0.375	87.3	90	15	38	6	51	47	45	1.47
14	김승회	두산	4.96	69	7	4	0	11	0.636	69	86	6	17	6	41	38	38	1.49
15	김성배	두산	5.32	45	2	1	1	4	0.667	44	47	8	9	6	33	26	26	1.27
16	이영하	두산	5.55	20	3	3	0	0	0.500	35.6	43	8	16	3	26	22	22	1.65
17	이현호	두산	5.70	24	1	0	0	0	1.000	30	48	6	14	0	19	27	19	2.07
18	전용훈	두산	6.00	7	0	0	0	0	-	9	11	0	2	0	6	7	6	1.44
19	박치국	두산	6.75	21	1	1	0	0	0.500	32	37	3	14	6	23	25	24	1.59
20	홍상삼	두산	7.94	11	1	1	0	0	0.500	17	20	2	11	2	7	17	15	1.82
21	고원준	두산	10.61	5	0	1	0	0	0.000	9.3	17	0	8	0	6	11	11	2.68
22	안규영	두산	13.50	5	0	0	0	0	-	5.3	7	0	8	0	4	8	8	2.81
23	이용호	두산	27.00	1	0	0	0	0	-	0.3	2	0	2	0	0	1	1	12.00
23	임진우	두산	27.00	1	0	0	0	0	-	1	4	0	1	0	1	3	3	5.00
