순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	조용호	KT	0.526	15	45	38	10	20	4	0	0	24	8	1	1
2	로하스	KT	0.423	17	78	71	14	30	7	0	4	49	12	0	1
3	배정대	KT	0.362	17	65	58	10	21	6	2	0	31	12	1	1
4	박경수	KT	0.352	17	66	54	10	19	3	0	2	28	14	1	2
5	황재균	KT	0.339	14	62	56	13	19	4	1	1	28	9	0	1
6	강백호	KT	0.333	14	65	57	13	19	6	1	5	42	14	0	1
6	문상철	KT	0.333	2	3	3	1	1	0	0	0	1	0	0	0
8	심우준	KT	0.312	17	85	77	10	24	1	1	0	27	9	1	1
9	유한준	KT	0.300	10	43	40	11	12	1	0	2	19	6	0	0
10	장성우	KT	0.288	16	60	52	6	15	3	0	2	24	16	2	2
11	강현우	KT	0.273	11	12	11	1	3	2	0	0	5	2	0	0
12	강민국	KT	0.250	9	8	8	2	2	0	0	0	2	1	0	0
13	김병희	KT	0.200	4	10	10	1	2	0	0	1	5	1	0	0
14	김민혁	KT	0.192	16	58	52	9	10	1	1	2	19	7	0	1
15	박승욱	KT	0.167	14	19	18	3	3	0	1	0	5	1	0	0
16	오태곤	KT	0.053	15	22	19	3	1	0	1	0	3	0	0	0
17	김성훈	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
17	김재윤	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
17	류희운	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
17	송민섭	KT	0.000	15	6	5	2	0	0	0	0	0	0	1	0
17	이대은	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
17	허도환	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
