순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	노수광	SK	0.375	12	26	24	4	9	2	1	0	13	1	1	0
2	남태혁	SK	0.333	7	21	21	1	7	0	0	0	7	3	0	0
2	오준혁	SK	0.333	10	23	21	4	7	0	0	1	10	4	0	0
4	한동민	SK	0.317	17	68	60	10	19	3	0	6	40	12	0	2
5	정진기	SK	0.310	15	48	42	6	13	0	1	1	18	7	0	1
6	로맥	SK	0.297	17	70	64	9	19	4	0	2	29	6	0	0
7	김성현	SK	0.250	14	29	24	3	6	1	0	0	7	1	2	0
7	최항	SK	0.250	2	4	4	0	1	0	0	0	1	0	0	0
9	정의윤	SK	0.244	16	48	45	3	11	2	0	0	13	4	0	0
10	김강민	SK	0.216	14	38	37	3	8	1	0	1	12	3	0	0
11	고종욱	SK	0.200	7	20	20	0	4	0	2	0	8	3	0	0
12	이홍구	SK	0.192	11	31	26	2	5	1	0	0	6	2	0	1
13	김창평	SK	0.191	17	55	47	7	9	2	1	0	13	5	0	0
14	정현	SK	0.182	14	37	33	1	6	1	0	0	7	1	3	0
15	채태인	SK	0.125	5	9	8	0	1	0	0	0	1	0	0	0
15	최정	SK	0.125	17	68	56	7	7	2	0	1	12	4	0	0
17	이재원	SK	0.111	3	10	9	0	1	0	0	0	1	0	0	0
18	윤석민	SK	0.100	10	20	20	0	2	1	0	0	3	1	0	0
19	이현석	SK	0.048	13	21	21	0	1	0	0	0	1	0	0	0
20	김재현	SK	-	1	0	0	1	0	0	0	0	0	0	0	0
20	서진용	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
20	조영우	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
20	최준우	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
20	최지훈	SK	-	2	0	0	0	0	0	0	0	0	0	0	0
20	하재훈	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
