순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	정훈	롯데	0.367	8	36	30	7	11	2	0	1	16	7	0	1
2	손아섭	롯데	0.351	17	75	57	15	20	3	0	1	26	9	0	2
3	이대호	롯데	0.344	17	73	64	6	22	5	0	1	30	11	0	2
4	전준우	롯데	0.315	17	76	73	13	23	7	0	4	42	9	0	0
5	한동희	롯데	0.296	17	60	54	4	16	3	0	1	22	4	0	1
6	민병헌	롯데	0.282	17	76	71	11	20	6	0	2	32	6	0	0
7	안치홍	롯데	0.254	17	71	63	8	16	5	0	1	24	9	0	1
8	김동한	롯데	0.250	10	12	12	2	3	1	0	0	4	3	0	0
9	신본기	롯데	0.238	14	21	21	3	5	0	0	0	5	1	0	0
10	마차도	롯데	0.233	17	69	60	9	14	4	0	4	30	15	1	1
11	허일	롯데	0.143	7	16	14	0	2	1	0	0	3	0	0	0
12	정보근	롯데	0.121	17	36	33	2	4	0	0	0	4	3	0	1
13	추재현	롯데	0.111	10	20	18	3	2	0	0	0	2	0	0	0
14	김준태	롯데	0.059	13	19	17	0	1	0	0	0	1	1	0	0
15	강로한	롯데	0.000	4	4	3	1	0	0	0	0	0	0	0	0
15	김원중	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
