순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	이정후	키움	0.373	18	78	67	10	25	7	1	4	46	19	0	2
2	박동원	키움	0.339	17	60	56	11	19	5	0	4	36	13	1	0
3	이지영	키움	0.333	13	49	45	7	15	3	1	0	20	6	0	0
4	서건창	키움	0.309	18	80	68	12	21	2	1	2	31	12	0	2
5	임병욱	키움	0.278	11	40	36	3	10	4	0	0	14	6	0	0
6	김하성	키움	0.262	18	78	65	16	17	6	0	3	32	10	0	0
7	박정음	키움	0.250	12	5	4	2	1	0	0	0	1	1	0	0
8	이택근	키움	0.220	13	42	41	3	9	5	0	0	14	5	0	0
9	김규민	키움	0.214	13	30	28	3	6	1	0	0	7	2	0	0
9	김주형	키움	0.214	9	16	14	2	3	2	0	0	5	1	0	0
11	박준태	키움	0.200	17	45	35	7	7	1	0	0	8	1	1	0
11	변상권	키움	0.200	3	5	5	1	1	1	0	0	2	0	0	0
13	김혜성	키움	0.196	18	51	46	6	9	0	0	0	9	1	0	0
14	박병호	키움	0.190	18	76	63	11	12	1	0	4	25	11	0	1
15	모터	키움	0.111	8	29	27	3	3	0	0	1	6	3	0	1
16	김성민	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
16	김재웅	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
16	신재영	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
16	윤정현	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
16	임규빈	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
16	전병우	키움	0.000	7	8	8	1	0	0	0	0	0	0	0	0
16	조상우	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
16	주효상	키움	0.000	4	4	4	0	0	0	0	0	0	0	0	0
