순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	이유찬	두산	1.000	10	3	1	2	1	0	1	0	3	0	0	0
2	페르난데스	두산	0.500	17	81	72	18	36	7	0	4	55	17	0	2
3	김재호	두산	0.400	15	63	55	11	22	2	1	0	26	7	0	1
4	오재일	두산	0.385	13	58	52	10	20	7	0	3	36	14	0	0
5	오재원	두산	0.371	17	38	35	9	13	1	0	3	23	10	0	1
6	박세혁	두산	0.349	14	53	43	5	15	0	0	0	15	6	0	1
7	허경민	두산	0.313	17	71	67	7	21	3	0	1	27	9	0	1
8	류지혁	두산	0.313	10	20	16	4	5	0	0	1	8	3	0	1
9	김재환	두산	0.302	16	74	63	13	19	4	0	4	35	15	0	1
10	정수빈	두산	0.292	17	69	65	10	19	3	0	0	22	8	1	0
11	최주환	두산	0.255	16	63	55	8	14	5	0	4	31	11	0	2
12	박건우	두산	0.215	17	75	65	13	14	5	0	1	22	4	0	0
13	안권수	두산	0.214	17	15	14	4	3	0	0	0	3	1	0	0
14	정상호	두산	0.143	10	22	21	0	3	0	0	0	3	1	1	0
15	김인태	두산	0.000	11	11	10	2	0	0	0	0	0	0	0	0
15	이형범	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
15	이흥련	두산	-	1	1	0	0	0	0	0	0	0	1	0	1
