순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이승현	삼성	1.95	34	2	1	0	8	0.667	37	28	2	11	1	31	11	8	1.05
2	우규민	삼성	2.75	54	2	7	15	7	0.222	59	58	7	10	6	40	20	18	1.15
3	임현준	삼성	3.40	71	1	0	0	8	1.000	42.3	34	2	12	3	35	19	16	1.09
4	장필준	삼성	3.62	61	3	3	11	15	0.500	69.6	64	7	33	3	53	29	28	1.39
5	라이블리	삼성	3.95	9	4	4	0	0	0.500	57	51	4	13	5	58	26	25	1.12
6	최지광	삼성	4.10	63	3	8	2	10	0.273	68	64	4	40	5	60	33	31	1.53
7	백정현	삼성	4.24	28	8	10	0	0	0.444	157	158	17	56	6	82	85	74	1.36
8	김시현	삼성	4.41	14	0	0	0	0	-	16.3	16	3	8	1	10	9	8	1.47
9	김윤수	삼성	4.63	5	1	1	0	0	0.500	11.6	10	2	10	0	9	6	6	1.71
10	윤성환	삼성	4.77	27	8	13	0	0	0.381	145.3	168	14	50	7	65	87	77	1.50
11	최채흥	삼성	4.81	28	6	6	0	2	0.500	106.6	127	10	36	1	89	67	57	1.53
12	원태인	삼성	4.82	26	4	8	0	2	0.333	112	119	12	39	5	68	65	60	1.41
13	맥과이어	삼성	5.05	21	4	8	0	0	0.333	112.3	119	13	66	6	100	68	63	1.65
14	김대우	삼성	5.13	44	5	1	0	1	0.833	59.6	61	11	16	5	40	38	34	1.29
15	권오준	삼성	5.23	43	3	0	0	3	1.000	43	49	7	12	2	26	25	25	1.42
16	헤일리	삼성	5.75	19	5	8	0	0	0.385	87.6	95	5	34	6	84	59	56	1.47
17	장지훈	삼성	6.28	13	0	0	0	0	-	14.3	22	0	11	1	12	11	10	2.30
18	김승현	삼성	6.39	14	1	1	0	0	0.500	12.6	11	0	9	1	4	12	9	1.58
19	정인욱	삼성	7.06	12	0	2	0	0	0.000	21.6	24	1	15	2	15	17	17	1.80
20	최충연	삼성	7.36	34	0	2	1	4	0.000	36.6	44	2	38	3	41	36	30	2.24
21	홍정우	삼성	10.13	7	0	0	0	0	-	5.3	10	2	4	1	2	8	6	2.63
