순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	강백호	KT	0.00	1	0	0	0	0	-	1	0	0	1	0	0	0	0	1.00
1	최건	KT	0.00	1	0	0	0	0	-	1	0	0	2	0	0	1	0	2.00
3	하준호	KT	1.13	8	0	0	0	0	-	8	4	1	4	0	11	1	1	1.00
4	이종혁	KT	1.69	5	0	0	0	0	-	5.3	6	0	3	1	4	1	1	1.69
5	김재윤	KT	2.27	43	2	2	7	9	0.500	47.6	27	4	12	1	42	13	12	0.82
6	김대유	KT	2.33	21	0	0	0	0	-	27	21	1	12	4	23	7	7	1.22
7	주권	KT	2.99	71	6	2	2	25	0.750	75.3	64	7	14	2	47	25	25	1.04
8	조한욱	KT	3.38	2	0	0	0	0	-	2.6	4	0	1	0	0	1	1	1.88
9	전유수	KT	3.39	62	3	1	1	7	0.750	66.3	66	2	18	4	46	31	25	1.27
10	조현우	KT	3.52	7	0	0	0	0	-	7.6	6	0	5	1	9	3	3	1.43
11	쿠에바스	KT	3.62	30	13	10	0	0	0.565	184	153	18	63	12	135	80	74	1.17
12	배제성	KT	3.76	28	10	10	0	0	0.500	131.6	132	6	56	3	91	58	55	1.43
13	알칸타라	KT	4.01	27	11	11	0	0	0.500	172.6	189	15	27	8	100	80	77	1.25
14	이대은	KT	4.08	44	4	2	17	0	0.667	86	89	10	39	6	59	48	39	1.49
15	손동현	KT	4.75	34	2	3	0	5	0.400	47.3	51	2	31	0	29	29	25	1.73
16	김민	KT	4.96	27	6	12	0	0	0.333	150.6	175	16	65	4	91	88	83	1.59
17	김민수	KT	4.96	28	8	5	2	1	0.615	81.6	87	10	30	2	56	46	45	1.43
18	금민철	KT	5.05	14	1	4	0	0	0.200	57	66	5	25	7	26	38	32	1.60
19	이선우	KT	5.40	3	0	0	0	0	-	1.6	1	1	1	0	2	1	1	1.20
20	정성곤	KT	5.53	52	3	3	8	11	0.500	53.6	64	7	22	2	40	36	33	1.60
21	조근종	KT	5.91	10	0	0	0	1	-	10.6	15	1	5	2	6	7	7	1.88
22	김태오	KT	6.00	4	0	0	0	0	-	3	7	0	3	1	0	3	2	3.33
23	엄상백	KT	8.04	26	2	3	0	0	0.400	31.3	40	6	24	0	20	29	28	2.04
24	이정현	KT	9.75	9	0	2	0	0	0.000	12	12	3	8	0	9	13	13	1.67
25	이상동	KT	14.21	6	0	0	0	0	-	6.3	10	2	2	1	0	10	10	1.89
26	전용주	KT	15.00	4	0	0	0	0	-	3	6	1	6	0	1	6	5	4.00
27	류희운	KT	23.14	1	0	1	0	0	0.000	2.3	8	0	2	0	1	6	6	4.29
