순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김진욱	한화	0.00	1	0	0	0	0	-	1	0	0	1	1	0	0	0	1.00
2	정우람	한화	1.54	57	4	3	26	0	0.571	58.3	57	4	16	1	48	11	10	1.25
3	채드벨	한화	3.50	29	11	10	0	0	0.524	177.3	169	14	63	10	134	73	69	1.31
4	서폴드	한화	3.51	31	12	11	0	0	0.522	192.3	191	8	54	8	135	84	75	1.27
5	안영명	한화	3.92	67	4	7	0	13	0.364	62	82	5	13	3	48	27	27	1.53
6	박상원	한화	3.97	61	1	4	0	12	0.200	59	52	5	28	5	39	29	26	1.36
7	김진영	한화	4.05	6	0	4	0	0	0.000	26.6	27	1	16	1	14	12	12	1.61
8	김경태	한화	4.09	17	0	0	0	0	-	11	14	0	8	0	10	5	5	2.00
9	임준섭	한화	4.20	34	1	3	0	1	0.250	49.3	56	1	28	1	26	30	23	1.70
10	김이환	한화	4.26	11	4	3	0	0	0.571	38	42	2	21	2	15	19	18	1.66
11	김성훈	한화	4.84	15	0	1	0	0	0.000	22.3	24	3	15	1	26	12	12	1.75
12	박윤철	한화	5.10	15	0	1	0	0	0.000	30	22	4	30	3	21	19	17	1.73
13	장민재	한화	5.43	26	6	8	0	0	0.429	119.3	150	14	27	6	103	76	72	1.48
14	김범수	한화	5.68	45	5	9	1	1	0.357	103	115	15	61	10	85	70	65	1.71
15	이태양	한화	5.81	55	1	6	0	10	0.143	66.6	74	8	13	3	64	44	43	1.31
16	김종수	한화	5.81	35	2	0	0	0	1.000	31	30	4	33	1	28	21	20	2.03
17	신정락	한화	5.84	44	5	1	0	5	0.833	44.6	48	6	21	6	35	33	29	1.54
18	송창현	한화	6.39	3	0	1	0	0	0.000	12.6	15	4	4	0	5	9	9	1.50
19	김민우	한화	6.75	16	2	7	0	0	0.222	68	80	6	30	6	46	59	51	1.62
19	황영국	한화	6.75	6	0	0	0	0	-	4	8	2	1	0	6	3	3	2.25
21	박주홍	한화	7.98	29	0	4	0	1	0.000	38.3	51	8	24	2	27	37	34	1.96
22	윤규진	한화	10.38	3	0	0	0	0	-	4.3	6	0	1	0	1	5	5	1.62
23	문동욱	한화	12.06	12	1	1	0	0	0.500	15.6	36	3	4	3	12	25	21	2.55
24	김재영	한화	12.96	5	0	0	0	0	-	8.3	14	1	3	2	4	12	12	2.04
25	서균	한화	14.54	7	0	0	0	0	-	4.3	10	0	3	0	3	8	7	3.00
26	윤호솔	한화	17.18	3	0	0	0	0	-	3.6	8	1	3	0	2	7	7	3.00
27	이충호	한화	45.00	1	0	0	0	0	-	1	6	1	1	0	0	5	5	7.00
28	송창식	한화	54.00	1	0	0	0	0	-	0.3	3	0	0	0	1	2	2	9.00
