순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김현수	롯데	1.42	6	0	1	0	0	0.000	6.3	3	0	1	0	4	2	1	0.63
2	조무근	롯데	1.86	8	0	0	0	0	-	9.6	6	0	5	3	5	2	2	1.14
3	진명호	롯데	3.41	60	3	2	0	9	0.600	63.3	56	4	35	1	51	24	24	1.44
4	차재용	롯데	3.72	9	0	0	0	0	-	9.6	9	0	8	0	7	6	4	1.76
5	레일리	롯데	3.88	30	5	14	0	0	0.263	181	191	10	65	8	140	88	78	1.41
6	손승락	롯데	3.93	53	4	3	9	2	0.571	52.6	55	3	19	3	44	27	23	1.41
7	박진형	롯데	4.02	41	2	1	5	5	0.667	40.3	40	6	11	0	40	19	18	1.26
8	박세웅	롯데	4.20	12	3	6	0	0	0.333	60	66	3	23	0	44	33	28	1.48
9	박시영	롯데	4.23	43	1	1	0	4	0.500	61.6	51	5	27	4	60	30	29	1.26
10	홍성민	롯데	4.26	12	0	0	0	1	-	12.6	17	0	0	1	7	6	6	1.34
11	다익손	롯데	4.34	29	6	10	0	0	0.375	149.3	164	15	40	6	117	81	72	1.37
12	송승준	롯데	4.40	11	0	1	0	0	0.000	14.3	16	2	6	0	13	7	7	1.53
13	김건국	롯데	4.46	37	3	3	0	3	0.500	66.6	73	5	27	6	43	34	33	1.50
14	톰슨	롯데	4.74	11	2	3	0	0	0.400	62.6	54	4	23	5	60	35	33	1.23
15	고효준	롯데	4.76	75	2	7	0	15	0.222	62.3	58	6	36	3	72	34	33	1.51
16	장시환	롯데	4.95	27	6	13	0	0	0.316	125.3	147	12	58	2	109	78	69	1.64
17	오현택	롯데	4.97	15	1	0	0	0	1.000	12.6	15	6	2	1	8	9	7	1.34
18	정성종	롯데	5.44	32	1	1	0	0	0.500	49.6	64	6	24	4	24	33	30	1.77
19	서준원	롯데	5.47	33	4	11	0	0	0.267	97	117	10	38	11	60	61	59	1.60
20	김원중	롯데	5.63	28	5	10	0	1	0.333	102.3	127	13	47	6	93	75	64	1.70
21	박근홍	롯데	6.11	24	1	0	0	1	1.000	17.6	16	5	17	1	11	13	12	1.87
22	구승민	롯데	6.25	41	1	4	2	6	0.200	36	45	5	21	3	43	29	25	1.83
23	최영환	롯데	6.41	15	0	0	0	0	-	19.6	21	1	9	1	20	15	14	1.53
24	박진	롯데	9.00	2	0	0	0	0	-	1	2	0	1	0	1	1	1	3.00
25	윤길현	롯데	10.80	6	1	1	0	0	0.500	5	17	2	4	2	5	14	6	4.20
26	이인복	롯데	11.68	11	0	0	0	0	-	12.3	29	2	8	0	7	18	16	3.00
27	정태승	롯데	27.00	1	0	0	0	0	-	1	2	0	1	0	2	3	3	3.00
27	최하늘	롯데	27.00	2	0	1	0	0	0.000	2	4	2	2	1	1	6	6	3.00
29	이승헌	롯데	31.50	1	0	1	0	0	0.000	2	7	0	3	1	0	7	7	5.00
30	윤성빈	롯데	81.00	1	0	1	0	0	0.000	0.3	0	0	3	0	0	3	3	9.00
