순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	윤석민	KIA	3.19	16	2	2	1	6	0.500	31	36	1	8	5	26	14	11	1.42
2	헥터	KIA	3.40	31	15	5	0	0	0.750	206.6	211	7	51	6	139	88	78	1.27
3	최영필	KIA	3.61	54	4	3	2	10	0.571	57.3	74	6	8	3	54	26	23	1.43
4	양현종	KIA	3.68	31	10	12	0	0	0.455	200.3	191	19	77	2	146	96	82	1.34
5	임창용	KIA	4.37	34	3	3	15	0	0.500	35	45	5	10	1	38	18	17	1.57
6	김진우	KIA	4.80	11	2	1	0	2	0.667	15	16	3	5	2	10	8	8	1.40
7	김명찬	KIA	4.85	11	0	0	0	1	-	13	17	1	4	1	10	7	7	1.62
8	한승혁	KIA	4.86	36	3	2	1	9	0.600	33.3	36	3	19	2	31	21	18	1.65
9	홍건희	KIA	4.98	50	4	4	4	5	0.500	90.3	103	10	41	1	83	53	50	1.59
10	김광수	KIA	5.16	54	2	6	7	14	0.250	52.3	67	5	22	0	39	31	30	1.70
11	지크	KIA	5.27	30	10	13	0	0	0.435	152	188	16	68	5	125	104	89	1.68
12	김윤동	KIA	5.43	31	0	3	2	2	0.000	53	48	9	38	3	47	33	32	1.62
13	정동현	KIA	6.00	9	1	2	0	0	0.333	18	20	2	6	2	4	13	12	1.44
14	임기준	KIA	6.03	19	0	2	1	1	0.000	31.3	37	2	33	4	15	23	21	2.23
15	고효준	KIA	6.07	24	0	2	0	2	0.000	46	54	6	29	2	52	39	31	1.80
16	박준표	KIA	6.27	46	4	0	0	5	1.000	51.6	60	4	22	8	33	39	36	1.59
17	심동섭	KIA	6.45	54	5	2	1	13	0.714	37.6	45	5	21	4	33	30	27	1.75
18	한기주	KIA	7.62	29	4	3	1	1	0.571	56.6	81	11	30	5	27	48	48	1.96
19	정용운	KIA	7.89	12	0	1	0	0	0.000	21.6	31	1	20	0	12	21	19	2.35
20	곽정철	KIA	7.90	27	0	1	2	1	0.000	27.3	34	3	22	2	16	24	24	2.05
21	배힘찬	KIA	7.94	3	0	0	1	0	-	5.6	7	1	3	0	2	6	5	1.76
22	전상현	KIA	8.10	8	0	2	0	1	0.000	13.3	19	3	8	0	11	13	12	2.03
23	이준영	KIA	8.66	13	0	2	0	1	0.000	17.6	22	4	11	0	7	17	17	1.87
24	유창식	KIA	20.25	1	0	0	0	0	-	1.3	2	1	6	0	0	3	3	6.00
