순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김승현	삼성	0.00	2	0	0	0	0	-	2	1	0	0	0	1	0	0	0.50
2	심창민	삼성	2.97	62	2	6	25	4	0.250	72.6	59	6	26	4	76	29	24	1.17
3	신용운	삼성	3.38	13	0	0	0	2	-	8	12	0	4	3	7	7	3	2.00
4	김현우	삼성	3.48	17	1	0	0	0	1.000	20.6	26	3	4	2	19	9	8	1.45
5	김건한	삼성	3.72	3	1	0	0	0	1.000	9.6	9	1	3	1	7	5	4	1.24
6	권오준	삼성	3.88	41	1	3	0	7	0.250	46.3	48	9	11	3	35	20	20	1.27
7	박민규	삼성	4.26	6	0	0	0	0	-	6.3	7	0	5	0	4	3	3	1.89
8	윤성환	삼성	4.35	28	11	10	0	0	0.524	180	202	25	41	13	85	95	87	1.35
9	차우찬	삼성	4.73	24	12	6	0	0	0.667	152.3	168	16	65	8	120	87	80	1.53
10	김대우	삼성	5.05	67	6	0	0	11	1.000	66	82	8	19	6	37	39	37	1.53
11	장필준	삼성	5.13	56	4	6	4	9	0.400	72	82	9	26	5	57	42	41	1.50
12	임대한	삼성	5.14	26	0	1	0	0	0.000	28	33	2	14	2	13	18	16	1.68
13	웹스터	삼성	5.70	12	4	4	0	0	0.500	71	72	10	47	3	59	48	45	1.68
14	백정현	삼성	5.77	70	6	3	0	9	0.667	68.6	73	9	30	2	77	44	44	1.50
15	안지만	삼성	5.79	31	2	5	5	5	0.286	37.3	44	9	15	4	41	26	24	1.58
16	정인욱	삼성	6.81	27	4	7	0	0	0.364	111	138	19	62	8	70	92	84	1.80
17	장원삼	삼성	7.01	26	5	8	0	2	0.385	78.3	114	16	23	2	53	69	61	1.75
18	김기태	삼성	7.08	17	4	4	0	0	0.500	75	94	20	22	10	34	61	59	1.55
19	박근홍	삼성	7.46	60	0	2	0	9	0.000	41	42	5	27	4	40	34	34	1.68
20	플란데	삼성	7.60	13	2	6	0	0	0.250	68.6	92	13	33	1	56	66	58	1.82
21	김동호	삼성	7.64	33	0	1	0	2	0.000	33	46	5	14	3	21	28	28	1.82
22	벨레스터	삼성	8.03	3	0	3	0	0	0.000	12.3	20	1	12	0	5	14	11	2.59
23	레온	삼성	11.25	2	0	1	0	0	0.000	8	16	2	1	1	7	10	10	2.13
24	최충연	삼성	12.91	3	0	2	0	0	0.000	7.6	11	2	11	0	6	11	11	2.87
25	조현근	삼성	13.50	3	0	0	0	0	-	5.3	12	2	3	1	5	8	8	2.81
26	임현준	삼성	36.00	2	0	0	0	0	-	1	4	1	0	1	0	4	4	4.00
