순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	홍성무	KT	4.00	8	0	0	0	0	-	9	11	2	1	0	12	6	4	1.33
2	배우열	KT	4.02	36	1	1	1	4	0.500	40.3	47	2	18	0	29	21	18	1.61
3	피어밴드	KT	4.45	31	7	13	0	0	0.350	182	231	23	48	10	144	97	90	1.53
4	김재윤	KT	4.97	52	8	1	14	1	0.889	54.3	61	6	15	1	73	31	30	1.40
5	주권	KT	5.10	28	6	8	0	0	0.429	134	162	14	44	5	63	80	76	1.54
6	이창재	KT	5.13	47	3	1	1	2	0.750	40.3	48	6	15	2	38	24	23	1.56
7	박세진	KT	5.14	7	0	2	0	0	0.000	21	24	5	13	0	8	13	12	1.76
8	마리몬	KT	5.23	12	6	4	0	0	0.600	62	60	3	29	6	45	38	36	1.44
9	김사율	KT	5.34	25	0	1	1	1	0.000	30.3	29	4	17	2	27	20	18	1.52
10	심재민	KT	5.47	59	2	3	0	7	0.400	54.3	75	4	24	5	30	36	33	1.82
11	고영표	KT	5.59	53	2	4	0	5	0.333	56.3	65	6	19	10	62	38	35	1.49
12	정성곤	KT	5.83	28	0	7	0	0	0.000	66.3	72	4	33	6	46	52	43	1.58
13	밴와트	KT	5.95	28	6	13	0	0	0.316	134.6	172	21	49	4	92	103	89	1.64
14	안상빈	KT	6.00	11	0	0	0	0	-	12	11	2	9	2	12	8	8	1.67
15	홍성용	KT	6.02	67	2	2	2	12	0.500	46.3	66	8	19	4	33	32	31	1.83
16	로위	KT	6.30	14	3	6	0	0	0.333	60	74	6	39	5	68	46	42	1.88
17	장시환	KT	6.33	40	3	12	6	3	0.200	75.3	93	7	43	9	67	62	53	1.81
18	김민수	KT	6.75	7	0	0	1	0	-	8	14	1	3	0	6	6	6	2.13
18	엄상백	KT	6.75	52	1	5	1	8	0.167	73.3	93	8	40	4	57	61	55	1.81
18	윤근영	KT	6.75	3	0	0	0	0	-	4	6	0	5	1	1	6	3	2.75
21	피노	KT	7.15	12	2	3	0	1	0.400	39	62	4	15	4	23	36	31	1.97
22	정대현	KT	7.29	22	4	10	0	0	0.286	91.3	115	13	44	5	57	82	74	1.74
23	이상화	KT	7.99	16	0	0	0	0	-	32.6	55	7	10	0	24	32	29	1.99
24	조무근	KT	8.61	38	2	0	0	4	1.000	38.6	59	5	27	3	31	37	37	2.22
25	최원재	KT	8.68	10	0	0	0	0	-	9.3	12	1	4	0	11	9	9	1.71
26	류희운	KT	10.80	5	0	0	0	0	-	8.3	13	1	3	0	3	10	10	1.92
27	채선관	KT	27.00	1	0	0	0	0	-	0.3	2	0	2	0	0	1	1	12.00
