순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박민석	NC	1.66	21	0	0	1	3	-	21.6	10	2	11	6	27	4	4	0.97
2	최성영	NC	1.93	7	0	0	0	0	-	4.6	8	0	2	0	4	1	1	2.14
3	임창민	NC	2.57	65	1	3	26	6	0.250	70	61	5	30	5	91	22	20	1.30
4	김선규	NC	2.93	17	1	0	0	0	1.000	15.3	20	1	8	1	6	6	5	1.83
5	원종현	NC	3.18	54	3	3	3	17	0.500	70.6	51	4	18	3	75	26	25	0.98
6	해커	NC	3.45	23	13	3	0	0	0.813	140.6	132	14	31	10	119	57	54	1.16
7	배재환	NC	4.09	11	1	1	0	0	0.500	22	17	1	9	0	15	11	10	1.18
8	구창모	NC	4.19	39	4	1	0	1	0.800	68.6	61	9	37	2	67	32	32	1.43
9	이태양	NC	4.21	10	2	2	0	0	0.500	47	44	7	26	8	27	22	22	1.49
10	장현식	NC	4.48	37	1	3	0	1	0.250	76.3	68	5	43	2	59	40	38	1.45
11	김진성	NC	4.48	69	6	8	1	14	0.429	84.3	79	15	16	2	100	44	42	1.13
12	스튜어트	NC	4.56	27	12	8	0	0	0.600	150	160	11	55	8	118	79	76	1.43
13	이재학	NC	4.58	26	12	4	0	0	0.750	127.6	140	19	54	6	134	72	65	1.52
14	최금강	NC	5.00	52	11	4	2	4	0.733	108	123	13	36	8	84	65	60	1.47
15	임정호	NC	5.40	42	1	1	1	7	0.500	23.3	25	0	11	6	29	17	14	1.54
16	이민호	NC	5.51	45	9	9	2	3	0.500	130.6	159	18	55	6	102	90	80	1.64
17	임서준	NC	5.68	2	0	1	0	0	0.000	6.3	10	0	3	0	4	5	4	2.05
18	민성기	NC	6.04	25	2	0	0	1	1.000	28.3	33	2	15	4	18	20	19	1.69
19	정수민	NC	6.19	15	3	3	0	0	0.500	48	59	4	29	5	31	34	33	1.83
20	박준영	NC	6.95	32	1	3	0	5	0.250	33.6	37	4	18	3	33	31	26	1.63
21	박상혁	NC	7.71	2	0	0	0	0	-	2.3	3	1	3	0	3	2	2	2.57
22	강장산	NC	11.57	3	0	1	0	0	0.000	2.3	3	2	3	0	1	3	3	2.57
23	김학성	NC	14.54	4	0	0	0	0	-	4.3	11	0	3	1	0	7	7	3.23
