순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이영재	LG	-	1	0	0	0	0	-	0	2	1	2	0	0	4	4	-
1	전인환	LG	0.00	5	0	0	0	0	-	6.3	4	0	3	1	5	0	0	1.11
3	허프	LG	3.13	13	7	2	0	1	0.778	74.6	72	2	9	1	46	34	26	1.08
4	정찬헌	LG	3.38	6	0	0	0	0	-	8	7	0	3	1	4	3	3	1.25
5	김지용	LG	3.57	51	3	4	0	17	0.429	63	52	9	18	5	56	25	25	1.11
6	임정우	LG	3.82	67	3	8	28	0	0.273	70.6	73	5	36	6	87	31	30	1.54
7	류제국	LG	4.30	29	13	11	0	0	0.542	161.3	152	14	70	21	138	83	77	1.38
8	최동환	LG	4.41	26	2	0	1	0	1.000	34.6	30	2	15	4	22	18	17	1.30
9	진해수	LG	4.67	75	0	4	1	17	0.000	54	57	5	37	2	54	30	28	1.74
10	우규민	LG	4.91	28	6	11	0	1	0.353	132	166	16	36	18	81	89	72	1.53
11	봉중근	LG	4.95	19	1	0	0	2	1.000	36.3	41	4	22	2	20	23	20	1.73
12	신승현	LG	4.96	49	3	1	1	9	0.750	45.3	41	3	24	4	31	26	25	1.43
13	소사	LG	5.16	33	10	9	0	0	0.526	199	258	12	38	9	107	121	114	1.49
14	김대현	LG	5.40	1	0	0	0	0	-	1.6	3	0	0	1	0	2	1	1.80
14	이동현	LG	5.40	46	4	3	2	5	0.571	43.3	54	5	14	3	38	26	26	1.57
16	이승현	LG	5.49	38	3	1	0	3	0.750	41	46	5	23	4	29	28	25	1.68
17	코프랜드	LG	5.54	13	2	3	0	0	0.400	63.3	71	8	42	7	34	53	39	1.78
18	이준형	LG	6.18	25	2	6	0	0	0.250	71.3	84	4	45	4	35	54	49	1.81
19	배민관	LG	6.35	2	0	0	0	0	-	5.6	5	3	1	0	1	4	4	1.06
20	유원상	LG	6.38	19	2	1	0	1	0.667	24	31	3	13	2	15	18	17	1.83
21	임찬규	LG	6.51	15	3	3	0	1	0.500	47	46	6	32	6	38	35	34	1.66
22	윤지웅	LG	6.55	59	4	2	0	11	0.667	44	48	4	18	4	37	33	32	1.50
23	유경국	LG	6.75	2	0	0	0	0	-	5.3	7	1	4	0	0	4	4	2.06
24	최성훈	LG	7.15	28	2	1	0	4	0.667	22.6	35	1	11	0	8	22	18	2.03
25	정현욱	LG	7.29	17	1	0	1	3	1.000	21	22	4	10	4	18	19	17	1.52
26	유재유	LG	13.50	7	0	1	0	0	0.000	6.6	10	2	7	0	3	10	10	2.55
27	장진용	LG	20.25	2	0	0	0	0	-	5.3	9	3	6	0	2	12	12	2.81
