순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김윤환	키움	0.00	1	0	0	0	0	-	1	0	0	1	0	0	0	0	1.00
1	김정인	키움	0.00	2	0	0	0	0	-	2	3	0	3	1	1	0	0	3.00
1	유재훈	키움	0.00	1	0	0	0	0	-	0.3	0	0	2	0	1	0	0	6.00
4	김세현	키움	2.60	62	2	0	36	0	1.000	62.3	66	2	7	0	50	19	18	1.17
5	하영민	키움	3.14	11	1	1	0	1	0.500	28.6	33	2	9	2	15	12	10	1.47
6	황덕균	키움	3.31	7	1	0	0	0	1.000	16.3	13	3	7	1	3	6	6	1.22
7	밴헤켄	키움	3.38	12	7	3	0	0	0.700	72	55	10	19	5	81	29	27	1.03
8	코엘로	키움	3.77	12	6	5	0	0	0.545	62	50	6	42	2	46	29	26	1.48
9	신재영	키움	3.90	30	15	7	0	0	0.682	168.6	192	19	21	11	99	76	73	1.26
10	정용준	키움	4.00	5	0	0	0	0	-	9	8	1	5	0	3	5	4	1.44
11	마정길	키움	4.10	61	6	1	0	12	0.857	63.6	61	10	34	4	52	33	29	1.49
12	오주원	키움	4.41	55	3	2	2	7	0.600	51	50	3	17	4	40	25	25	1.31
13	이보근	키움	4.45	67	5	7	0	25	0.417	64.6	69	3	27	6	56	36	32	1.48
14	박종윤	키움	4.50	1	0	0	0	0	-	2	5	0	2	0	0	1	1	3.50
15	김상수	키움	4.62	67	6	5	0	21	0.545	74	77	6	34	1	76	40	38	1.50
16	금민철	키움	5.13	14	1	1	0	0	0.500	26.3	36	2	9	1	16	16	15	1.71
17	맥그레거	키움	5.20	14	6	3	0	0	0.667	90	108	13	20	2	61	56	52	1.42
18	김정훈	키움	5.26	34	1	5	0	0	0.167	63.3	71	9	29	6	28	44	37	1.58
19	박주현	키움	6.35	30	7	5	0	0	0.583	119	153	19	37	8	71	89	84	1.60
20	정회찬	키움	6.52	11	0	0	0	0	-	9.6	8	0	9	2	2	7	7	1.76
21	이정훈	키움	7.00	15	0	3	0	1	0.000	18	32	3	5	0	8	14	14	2.06
22	최원태	키움	7.23	17	2	3	0	0	0.400	61	89	6	23	6	42	51	49	1.84
23	김택형	키움	7.62	32	2	2	0	7	0.500	28.3	41	6	11	0	35	26	24	1.84
24	양훈	키움	8.28	20	1	6	0	0	0.143	70.6	119	10	27	1	24	71	65	2.07
25	강윤구	키움	18.00	1	0	0	0	0	-	1	1	1	1	0	0	2	2	2.00
26	박정준	키움	19.29	7	0	0	0	0	-	4.6	8	0	6	1	3	10	10	3.00
