순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이용찬	두산	2.70	5	1	0	0	2	1.000	6.6	7	0	0	0	5	2	2	1.05
2	니퍼트	두산	2.95	28	22	3	0	0	0.880	167.6	151	15	57	9	142	61	55	1.24
3	정재훈	두산	3.27	46	1	5	2	23	0.167	52.3	43	3	17	5	56	21	19	1.15
4	장원준	두산	3.32	27	15	6	0	0	0.714	168	161	14	76	9	137	66	62	1.41
5	보우덴	두산	3.80	30	18	7	0	0	0.720	180	159	17	54	6	160	83	76	1.18
6	윤명준	두산	3.95	55	4	0	2	11	1.000	57	51	5	17	3	39	25	25	1.19
7	유희관	두산	4.41	30	15	6	0	0	0.714	185.6	212	22	58	6	102	95	91	1.45
8	이현승	두산	4.84	56	1	4	25	1	0.200	57.6	65	8	17	7	41	36	31	1.42
9	진야곱	두산	4.94	55	5	2	1	4	0.714	62	68	8	40	1	56	38	34	1.74
10	김강률	두산	5.14	25	0	2	0	4	0.000	28	31	2	17	2	21	18	16	1.71
11	홍상삼	두산	5.25	11	0	1	5	1	0.000	12	12	0	9	0	17	7	7	1.75
12	박성민	두산	5.40	4	0	0	0	0	-	3.3	5	1	2	0	3	2	2	2.10
12	이용호	두산	5.40	1	0	0	0	0	-	1.6	3	0	1	0	0	1	1	2.40
14	고원준	두산	5.47	14	1	1	0	1	0.500	24.6	31	2	11	5	21	15	15	1.70
15	허준혁	두산	5.64	28	4	7	0	0	0.364	89.3	106	17	39	7	56	61	56	1.62
16	김성배	두산	6.03	39	0	1	1	5	0.000	37.3	59	5	19	2	27	26	25	2.09
17	오현택	두산	6.10	20	1	0	0	4	1.000	20.6	29	3	3	2	17	14	14	1.55
18	고봉재	두산	6.17	25	3	0	0	0	1.000	23.3	32	1	2	3	18	17	16	1.46
19	함덕주	두산	6.23	15	0	0	0	0	-	8.6	10	0	11	0	7	6	6	2.42
20	안규영	두산	6.61	16	1	2	0	0	0.333	47.6	73	6	24	4	24	36	35	2.03
21	이현호	두산	7.09	41	0	2	0	0	0.000	47	63	5	20	5	32	37	37	1.77
22	홍영현	두산	7.11	6	1	0	0	0	1.000	6.3	9	1	6	0	6	6	5	2.37
23	강동연	두산	8.22	11	0	0	0	0	-	7.6	9	2	6	0	6	8	7	1.96
24	조승수	두산	10.80	7	0	0	0	0	-	8.3	13	2	4	4	2	10	10	2.04
