순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김태우	NC	0.429	3	7	7	0	3	0	0	0	3	2	0	0
2	박민우	NC	0.363	106	452	388	84	141	25	4	3	183	47	3	4
3	손시헌	NC	0.350	124	391	349	32	122	17	1	5	156	45	13	5
4	나성범	NC	0.347	125	561	498	103	173	42	2	24	291	99	0	3
5	이상호	NC	0.335	95	241	227	33	76	8	0	0	84	15	5	0
6	모창민	NC	0.312	136	527	474	64	148	25	3	17	230	90	3	9
7	이종욱	NC	0.308	107	355	318	52	98	15	0	5	128	34	2	2
8	스크럭스	NC	0.300	115	518	437	91	131	24	0	35	260	111	0	4
9	이호준	NC	0.299	77	187	164	13	49	10	0	7	80	36	1	3
10	강진성	NC	0.296	28	32	27	5	8	3	0	1	14	5	0	0
11	권희동	NC	0.286	141	554	472	72	135	20	2	19	216	86	7	7
12	노진혁	NC	0.286	4	7	7	2	2	1	0	0	3	0	0	0
13	김태군	NC	0.265	132	420	362	33	96	19	0	3	124	34	18	2
14	김준완	NC	0.250	104	144	124	19	31	2	1	0	35	8	2	2
15	김성욱	NC	0.247	124	347	308	60	76	18	4	6	120	31	1	5
16	박석민	NC	0.245	101	382	319	43	78	15	0	14	135	56	0	0
17	지석훈	NC	0.239	121	304	268	29	64	16	0	6	98	24	2	2
18	조평호	NC	0.227	29	52	44	4	10	3	0	1	16	4	1	0
19	윤병호	NC	0.200	49	58	55	11	11	3	0	0	14	2	1	0
20	도태훈	NC	0.191	32	51	47	3	9	1	0	1	13	4	0	0
21	박광열	NC	0.190	60	66	63	5	12	7	1	1	24	1	1	0
22	이재율	NC	0.167	52	27	24	16	4	0	0	0	4	1	1	0
23	조영훈	NC	0.150	16	46	40	1	6	2	0	1	11	3	1	0
24	김종민	NC	0.136	22	24	22	2	3	0	0	0	3	1	0	0
25	황윤호	NC	0.133	36	17	15	8	2	0	1	0	4	0	0	0
26	신진호	NC	0.083	9	12	12	1	1	1	0	0	2	0	0	0
27	강구성	NC	0.000	1	1	1	0	0	0	0	0	0	0	0	0
27	강윤구	NC	-	2	0	0	0	0	0	0	0	0	0	0	0
27	김종호	NC	0.000	3	2	2	0	0	0	0	0	0	0	0	0
27	김진성	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
