순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김주성	LG	1.000	2	1	1	1	1	0	0	0	1	0	0	0
1	정찬헌	LG	1.000	1	1	1	1	1	0	0	0	1	2	0	0
3	박용택	LG	0.344	138	596	509	83	175	23	2	14	244	90	0	9
4	윤진호	LG	0.333	14	3	3	1	1	0	0	0	1	1	0	0
5	백창수	LG	0.327	52	122	101	15	33	9	0	4	54	18	3	2
6	안익훈	LG	0.320	108	248	219	38	70	5	0	1	78	15	5	2
7	정성훈	LG	0.312	115	321	276	32	86	14	0	6	118	30	1	2
8	김재율	LG	0.304	75	198	181	21	55	9	0	6	82	28	4	1
9	임훈	LG	0.293	42	85	82	8	24	1	0	0	25	7	0	0
10	이천웅	LG	0.284	75	266	232	35	66	14	0	2	86	27	4	0
11	손주인	LG	0.279	115	334	294	48	82	13	0	5	110	33	9	6
12	로니	LG	0.278	23	93	79	7	22	5	0	3	36	12	0	2
13	유강남	LG	0.278	118	364	324	43	90	13	0	17	154	66	9	2
14	히메네스	LG	0.276	51	198	181	29	50	6	1	7	79	30	0	1
15	최민창	LG	0.276	13	33	29	1	8	0	0	0	8	2	0	1
16	오지환	LG	0.272	107	390	334	47	91	13	4	8	136	39	1	5
17	김용의	LG	0.268	60	189	164	17	44	6	2	0	54	8	6	0
18	채은성	LG	0.267	114	372	333	28	89	12	3	2	113	35	10	1
19	이형종	LG	0.265	128	434	377	57	100	18	0	9	145	44	4	2
20	양석환	LG	0.263	132	496	445	62	117	27	3	14	192	83	2	5
21	정상호	LG	0.263	79	150	137	16	36	3	0	3	48	17	4	0
22	문선재	LG	0.261	35	107	92	17	24	6	1	2	38	14	2	2
23	강승호	LG	0.250	85	268	248	42	62	14	2	5	95	31	3	7
24	조윤준	LG	0.237	25	43	38	3	9	0	0	0	9	8	2	1
25	최재원	LG	0.232	69	159	142	20	33	4	1	1	42	12	3	3
26	백승현	LG	0.217	9	30	23	2	5	1	0	0	6	1	1	0
27	황목치승	LG	0.207	45	34	29	14	6	0	0	0	6	3	2	1
28	이병규	LG	0.205	19	48	44	5	9	0	1	0	11	5	0	0
29	서상우	LG	0.077	10	17	13	4	1	0	0	1	4	2	0	0
30	고우석	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
