순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	최정용	SK	0.333	5	8	6	1	2	0	0	0	2	0	1	0
2	정의윤	SK	0.321	112	381	349	44	112	16	0	15	173	45	0	4
3	최항	SK	0.321	37	116	106	14	34	8	0	1	45	16	2	2
4	최정	SK	0.316	130	527	430	89	136	18	1	46	294	113	0	8
5	한동민	SK	0.294	103	414	350	64	103	21	2	29	215	73	0	3
6	나주환	SK	0.291	122	452	419	69	122	24	1	19	205	65	8	1
7	노수광	SK	0.285	131	425	382	72	109	18	3	6	151	39	4	5
8	이성우	SK	0.279	64	125	111	6	31	5	0	1	39	14	7	0
9	김동엽	SK	0.277	125	428	393	58	109	18	1	22	195	70	0	3
10	이대수	SK	0.276	58	124	105	18	29	5	1	0	36	4	7	0
11	조용호	SK	0.272	69	225	191	34	52	7	1	0	61	10	6	0
12	김성현	SK	0.271	130	429	380	45	103	14	0	4	129	29	7	3
13	박정권	SK	0.256	118	345	305	37	78	14	1	16	142	51	0	5
14	로맥	SK	0.242	102	416	359	58	87	19	0	31	199	64	0	1
15	이재원	SK	0.242	114	350	314	32	76	15	0	9	118	42	8	4
16	정진기	SK	0.234	90	212	197	37	46	5	1	11	86	35	2	0
17	최승준	SK	0.233	31	98	90	11	21	4	0	6	43	16	0	0
18	김강민	SK	0.219	88	203	183	31	40	5	1	5	62	18	0	0
19	박승욱	SK	0.203	73	184	158	25	32	3	2	3	48	11	5	1
20	이홍구	SK	0.188	53	110	101	14	19	3	0	10	52	18	1	1
21	워스	SK	0.111	3	11	9	0	1	0	0	0	1	0	0	0
22	김재현	SK	0.000	14	4	4	3	0	0	0	0	0	0	0	0
22	김주한	SK	-	2	0	0	0	0	0	0	0	0	0	0	0
22	박성한	SK	0.000	2	4	4	0	0	0	0	0	0	0	0	0
22	서진용	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
22	전유수	SK	0.000	1	1	1	0	0	0	0	0	0	0	0	0
22	허건엽	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
