순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	서건창	키움	0.332	139	615	539	87	179	28	3	6	231	76	2	6
2	이정후	키움	0.324	144	622	552	111	179	29	8	2	230	47	2	2
3	채태인	키움	0.322	109	384	342	46	110	23	1	12	171	62	0	3
4	박윤	키움	0.313	9	18	16	2	5	1	0	0	6	0	0	0
5	고종욱	키움	0.312	123	453	426	70	133	24	8	8	197	54	0	2
6	김태완	키움	0.311	46	100	90	14	28	5	0	4	45	7	0	0
7	초이스	키움	0.307	46	201	176	37	54	8	1	17	115	42	0	1
8	김하성	키움	0.302	141	601	526	90	159	36	3	23	270	114	2	7
9	채상현	키움	0.300	5	12	10	0	3	0	0	0	3	0	1	0
10	김민성	키움	0.282	133	530	472	59	133	26	1	15	206	78	0	8
11	이택근	키움	0.278	100	269	241	27	67	15	1	3	93	29	1	1
12	송성문	키움	0.273	38	90	77	11	21	0	1	1	26	8	1	1
13	박동원	키움	0.270	103	284	256	33	69	9	0	11	111	39	6	2
14	장영석	키움	0.269	60	212	186	30	50	14	0	12	100	38	0	0
15	김웅빈	키움	0.252	67	142	135	18	34	8	0	3	51	19	0	0
16	박정음	키움	0.243	81	162	140	26	34	4	1	2	46	15	4	1
17	김규민	키움	0.238	14	23	21	5	5	0	1	0	7	2	0	0
17	임병욱	키움	0.238	21	46	42	10	10	3	0	1	16	7	0	1
19	허정협	키움	0.237	83	266	228	35	54	9	0	9	90	39	1	1
20	주효상	키움	0.195	64	129	118	10	23	5	0	1	31	9	0	0
21	김혜성	키움	0.188	16	17	16	1	3	2	0	0	5	2	0	0
22	김지수	키움	0.171	64	40	35	7	6	0	0	1	9	5	1	2
23	김재현	키움	0.167	70	88	84	6	14	2	0	2	22	6	0	0
24	홍성갑	키움	0.143	7	8	7	0	1	0	0	0	1	0	0	0
25	대니돈	키움	0.140	20	57	50	5	7	2	0	1	12	2	0	0
26	강지광	키움	0.000	1	2	2	0	0	0	0	0	0	0	0	0
26	김민준	키움	0.000	12	5	4	2	0	0	0	0	0	0	0	0
26	김상수	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
26	하영민	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
26	한현희	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
