순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김성훈	삼성	0.318	47	166	151	27	48	4	2	0	56	18	1	1
2	러프	삼성	0.315	134	591	515	90	162	38	0	31	293	124	0	4
3	최경철	삼성	0.313	25	39	32	5	10	2	0	2	18	7	0	1
4	구자욱	삼성	0.310	144	647	564	108	175	39	10	21	297	107	0	10
5	강한울	삼성	0.303	135	448	412	58	125	9	3	0	140	24	9	1
6	배영섭	삼성	0.303	92	244	218	39	66	11	1	6	97	26	3	1
7	안주형	삼성	0.300	10	10	10	0	3	1	0	0	4	2	0	0
8	조동찬	삼성	0.289	122	393	353	35	102	23	0	10	155	46	4	4
9	박해민	삼성	0.284	144	638	570	96	162	25	8	7	224	54	8	9
10	이승엽	삼성	0.280	135	533	472	65	132	30	5	24	244	87	0	8
11	김정혁	삼성	0.274	31	91	84	15	23	5	0	0	28	13	0	1
12	이원석	삼성	0.265	121	459	411	55	109	20	1	18	185	62	4	6
13	김헌곤	삼성	0.264	123	404	356	51	94	13	2	9	138	47	8	3
14	김상수	삼성	0.264	42	154	144	17	38	7	0	3	54	13	3	1
15	박한이	삼성	0.263	68	134	118	14	31	9	0	4	52	14	2	1
16	이지영	삼성	0.238	105	336	302	31	72	10	2	0	86	26	6	3
17	최원제	삼성	0.222	11	18	18	3	4	3	0	0	7	3	0	0
18	나원탁	삼성	0.217	12	23	23	2	5	1	0	0	6	0	0	0
19	정병곤	삼성	0.216	74	82	74	16	16	0	0	2	22	7	2	0
20	권정웅	삼성	0.212	61	112	99	11	21	3	0	6	42	11	4	0
21	최영진	삼성	0.200	14	22	20	4	4	0	2	1	11	4	1	0
22	이현동	삼성	0.188	16	16	16	1	3	1	0	0	4	0	0	0
23	나성용	삼성	0.182	6	11	11	0	2	0	0	0	2	1	0	0
24	김민수	삼성	0.143	13	22	21	2	3	1	0	0	4	3	0	0
25	백상원	삼성	0.130	28	51	46	4	6	0	0	0	6	2	1	1
26	이성규	삼성	0.118	15	20	17	4	2	0	0	0	2	0	1	0
27	김성윤	삼성	0.083	22	14	12	3	1	0	0	1	4	2	0	0
28	김동호	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
28	김승현	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
28	문선엽	삼성	0.000	4	4	4	0	0	0	0	0	0	0	0	0
