순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	신재웅	SK	2.77	54	2	3	16	6	0.400	52	49	5	28	1	43	23	16	1.48
2	김광현	SK	2.98	25	11	8	0	0	0.579	136	125	16	30	2	130	48	45	1.14
3	박희수	SK	3.27	35	1	2	0	4	0.333	33	35	1	15	3	30	14	12	1.52
4	정동윤	SK	3.38	2	0	0	0	0	-	2.6	3	1	1	0	3	1	1	1.50
5	김태훈	SK	3.83	61	9	3	0	10	0.750	94	88	8	36	2	93	44	40	1.32
6	켈리	SK	4.09	28	12	7	0	0	0.632	158.3	152	18	47	13	161	78	72	1.26
7	박종훈	SK	4.18	30	14	8	0	0	0.636	159.3	158	16	54	20	133	81	74	1.33
8	이승진	SK	4.57	34	0	1	0	0	0.000	41.3	41	6	20	4	37	25	21	1.48
9	문승원	SK	4.60	31	8	9	1	1	0.471	150.6	180	24	37	4	122	86	77	1.44
10	채병용	SK	4.80	29	2	1	1	3	0.667	30	33	8	8	1	15	16	16	1.37
11	산체스	SK	4.89	29	8	8	0	1	0.500	145.3	161	26	39	7	124	90	79	1.38
12	윤희상	SK	5.12	46	1	2	1	7	0.333	51	55	8	7	2	44	29	29	1.22
13	남윤성	SK	5.19	6	0	1	0	0	0.000	8.6	12	1	4	0	3	5	5	1.85
14	정영일	SK	5.32	51	3	0	0	13	1.000	44	48	7	21	5	33	33	26	1.57
15	전유수	SK	5.50	16	0	1	0	0	0.000	18	21	3	8	2	15	11	11	1.61
16	박정배	SK	5.84	49	1	3	9	2	0.250	44.6	51	9	12	2	44	30	29	1.41
17	서진용	SK	6.12	48	3	2	1	12	0.600	50	52	14	23	2	58	36	34	1.50
18	봉민호	SK	6.75	1	0	0	0	0	-	1.3	1	1	0	0	2	1	1	0.75
19	임준혁	SK	7.36	6	0	0	0	0	-	7.3	12	0	3	0	2	6	6	2.05
20	김택형	SK	7.71	14	1	2	0	2	0.333	11.6	9	1	10	0	11	10	10	1.63
21	백인식	SK	9.42	18	1	2	0	1	0.333	14.3	17	4	9	3	14	15	15	1.81
22	김주한	SK	13.50	7	1	0	0	1	1.000	6	9	2	6	0	5	10	9	2.50
23	최민준	SK	14.40	2	0	0	0	0	-	5	11	5	0	0	3	9	8	2.20
24	박민호	SK	15.43	3	0	0	0	0	-	2.3	4	1	1	1	0	4	4	2.14
25	강지광	SK	21.00	4	0	0	0	0	-	3	8	1	4	0	3	7	7	4.00
26	조성훈	SK	27.00	1	0	0	0	0	-	0.6	3	0	0	0	0	2	2	4.50
27	이원준	SK	29.45	3	0	1	0	0	0.000	3.6	13	3	1	0	2	12	12	3.82
28	정재원	SK	30.86	2	0	1	0	0	0.000	2.3	8	0	1	0	0	8	8	3.86
