순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김종수	한화	1.80	3	0	0	0	0	-	5	3	1	0	0	1	1	1	0.60
2	박상원	한화	2.10	69	4	2	0	9	0.667	60	59	3	21	4	62	17	14	1.33
3	송은범	한화	2.50	68	7	4	1	10	0.636	79.3	77	2	33	5	61	29	22	1.39
4	이태양	한화	2.84	63	4	2	0	12	0.667	79.3	66	10	23	4	85	30	25	1.12
5	정우람	한화	3.40	55	5	3	35	0	0.625	53	49	6	12	2	56	22	20	1.15
6	김성훈	한화	3.58	10	0	2	0	0	0.000	27.6	25	2	11	3	28	12	11	1.30
7	임준섭	한화	4.32	10	1	0	0	0	1.000	8.3	8	1	6	1	6	4	4	1.68
8	헤일	한화	4.34	12	3	4	0	0	0.429	66.3	68	8	17	4	55	35	32	1.28
9	장민재	한화	4.68	34	6	2	0	1	0.750	59.6	62	7	23	1	42	33	31	1.42
10	샘슨	한화	4.68	30	13	8	0	0	0.619	161.6	144	17	79	5	195	91	84	1.38
11	권혁	한화	4.91	16	1	1	0	3	0.500	11	9	2	4	0	11	6	6	1.18
12	송창식	한화	4.97	12	1	0	0	1	1.000	12.6	15	2	4	1	8	7	7	1.50
13	휠러	한화	5.13	19	3	9	0	0	0.250	101.6	128	12	34	10	94	62	58	1.59
14	강승현	한화	5.40	2	0	0	0	0	-	1.6	3	1	0	0	2	1	1	1.80
15	김재영	한화	5.66	29	6	4	0	1	0.600	111.3	136	15	37	12	56	74	70	1.55
16	안영명	한화	5.73	53	8	2	0	8	0.800	66	83	12	15	4	48	44	42	1.48
17	김범수	한화	5.77	55	4	4	0	7	0.500	48.3	52	7	29	1	54	33	31	1.68
18	서균	한화	5.79	56	1	1	1	10	0.500	37.3	39	7	16	7	22	26	24	1.47
19	윤규진	한화	5.89	18	2	6	0	0	0.250	84	99	14	30	6	81	63	55	1.54
20	김진욱	한화	6.35	3	0	0	0	0	-	5.6	6	0	3	3	4	4	4	1.59
21	김민우	한화	6.52	23	5	9	0	0	0.357	99.3	133	19	41	8	73	79	72	1.75
22	배영수	한화	6.63	11	2	3	0	0	0.400	55.6	69	6	15	6	47	42	41	1.51
23	김진영	한화	7.94	4	0	0	0	0	-	11.3	13	1	4	0	9	10	10	1.50
24	박주홍	한화	8.68	22	1	1	0	0	0.500	18.6	26	4	10	2	18	18	18	1.93
25	심수창	한화	15.43	3	0	0	0	0	-	2.3	7	2	0	0	2	4	4	3.00
26	김경태	한화	16.88	3	0	0	0	0	-	2.6	4	2	5	0	2	5	5	3.38
27	이동걸	한화	18.00	1	0	0	0	0	-	2	5	1	0	0	2	4	4	2.50
