순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	장지훈	삼성	0.00	1	0	0	0	0	-	1	1	0	0	0	1	0	0	1.00
2	최채흥	삼성	3.21	8	4	1	0	0	0.800	28	30	5	8	1	25	11	10	1.36
3	정인욱	삼성	3.48	19	1	0	0	0	1.000	31	31	3	9	3	27	17	12	1.29
4	최충연	삼성	3.60	70	2	6	8	16	0.250	85	73	6	26	2	101	34	34	1.16
5	임현준	삼성	3.90	40	0	1	0	3	0.000	27.6	20	3	11	5	26	12	12	1.12
6	권오준	삼성	3.95	47	3	1	1	2	0.750	43.3	43	7	12	3	52	21	19	1.27
7	심창민	삼성	4.07	59	5	2	17	5	0.714	66.3	57	12	22	9	68	32	30	1.19
8	우규민	삼성	4.30	48	4	1	0	10	0.800	58.6	70	6	12	5	48	28	28	1.40
9	장필준	삼성	4.34	61	5	5	6	13	0.500	66.3	65	6	25	6	74	35	32	1.36
10	김승현	삼성	4.45	28	1	3	0	2	0.250	32.3	48	3	15	5	29	18	16	1.95
11	백정현	삼성	4.58	25	7	7	1	0	0.500	125.6	142	18	36	3	99	68	64	1.42
12	양창섭	삼성	5.05	19	7	6	0	0	0.538	87.3	100	12	34	10	49	52	49	1.53
13	아델만	삼성	5.05	31	8	12	0	0	0.400	171	202	20	54	11	137	101	96	1.50
14	보니야	삼성	5.30	29	7	10	0	0	0.412	168	193	23	63	12	151	111	99	1.52
15	장원삼	삼성	6.16	8	3	1	0	0	0.750	38	47	4	13	1	27	27	26	1.58
16	한기주	삼성	6.69	33	1	4	0	3	0.200	39	54	8	12	5	30	32	29	1.69
17	윤성환	삼성	6.98	24	5	9	0	0	0.357	117.3	164	28	32	9	89	99	91	1.67
18	박근홍	삼성	7.43	22	2	0	0	0	1.000	23	28	3	12	6	27	21	19	1.74
19	김대우	삼성	7.93	8	2	2	0	0	0.500	36.3	53	7	18	3	15	34	32	1.95
20	이승현	삼성	7.94	19	1	1	0	2	0.500	17	23	4	7	2	14	15	15	1.76
21	김용하	삼성	9.00	4	0	0	0	0	-	3	2	0	4	3	4	4	3	2.00
22	최지광	삼성	11.42	6	0	0	0	0	-	8.6	11	0	7	0	7	12	11	2.08
23	안성무	삼성	11.57	2	0	0	0	0	-	2.3	3	2	1	0	5	3	3	1.71
23	황수범	삼성	11.57	2	0	0	0	0	-	2.3	3	0	6	0	2	3	3	3.86
25	김시현	삼성	12.60	4	0	0	0	0	-	5	10	2	2	2	5	7	7	2.40
26	김기태	삼성	27.00	1	0	0	0	0	-	1.6	4	3	0	1	2	5	5	2.40
