순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	배제성	KT	0.00	3	0	0	0	0	-	4	3	0	1	0	2	1	0	1.00
2	배우열	KT	1.59	5	0	0	0	0	-	5.6	7	0	3	0	9	2	1	1.76
3	이상화	KT	2.61	11	0	0	2	3	-	10.3	6	0	5	1	14	3	3	1.06
4	정성곤	KT	2.96	24	1	0	0	5	1.000	24.3	23	3	11	0	23	8	8	1.40
5	니퍼트	KT	4.25	29	8	8	0	0	0.500	175.6	209	26	39	9	165	88	83	1.41
6	피어밴드	KT	4.30	27	8	8	0	0	0.500	163.3	186	24	38	6	141	90	78	1.37
7	김재윤	KT	4.57	62	7	5	15	0	0.583	61	76	11	15	1	66	34	31	1.49
8	심재민	KT	4.61	44	4	5	2	3	0.444	41	47	5	17	2	36	25	21	1.56
9	이종혁	KT	4.66	47	0	5	1	4	0.000	48.3	61	4	17	2	31	28	25	1.61
10	류희운	KT	4.91	29	1	1	0	1	0.500	44	53	11	14	2	28	25	24	1.52
11	김민	KT	5.06	9	4	2	0	0	0.667	37.3	40	4	25	6	25	26	21	1.74
12	고영표	KT	5.13	25	6	9	0	0	0.400	142	175	17	25	14	134	91	81	1.41
13	홍성용	KT	5.40	56	2	1	1	6	0.667	45	49	7	16	5	42	28	27	1.44
14	금민철	KT	5.41	29	8	12	0	0	0.400	156.3	212	19	68	7	79	104	94	1.79
15	엄상백	KT	5.44	55	1	8	2	12	0.111	46.3	51	4	17	8	44	33	28	1.47
16	김사율	KT	5.76	29	1	2	0	0	0.333	45.3	56	12	10	2	35	32	29	1.46
17	김태오	KT	6.00	8	1	2	0	0	0.333	21	32	4	9	2	14	16	14	1.95
18	고창성	KT	6.69	42	2	0	0	5	1.000	37.6	57	7	11	5	23	29	28	1.81
19	신병률	KT	7.01	21	0	0	1	2	-	25.6	35	6	7	3	14	22	20	1.64
20	주권	KT	8.39	46	3	9	0	4	0.250	88	118	16	27	7	54	85	82	1.65
21	김민수	KT	9.00	2	0	0	0	0	-	1	1	0	1	0	1	1	1	2.00
22	윤근영	KT	9.72	17	1	0	0	0	1.000	16.6	26	3	10	0	17	19	18	2.16
23	박세진	KT	10.68	8	1	5	0	0	0.167	30.3	47	10	19	2	24	37	36	2.18
24	최건	KT	13.50	2	0	0	0	0	-	2	5	0	2	0	2	3	3	3.50
25	김용주	KT	18.00	1	0	0	0	0	-	2	5	1	2	0	2	4	4	3.50
