순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김건국	롯데	2.53	5	1	0	0	0	1.000	10.6	11	1	0	1	9	3	3	1.03
2	구승민	롯데	3.67	64	7	4	0	14	0.636	73.6	62	12	31	3	75	33	30	1.26
3	오현택	롯데	3.76	72	3	2	0	25	0.600	64.6	66	11	12	3	63	32	27	1.21
4	손승락	롯데	3.90	57	3	5	28	0	0.375	57.6	53	1	20	1	60	26	25	1.27
5	노경은	롯데	4.08	33	9	6	0	0	0.600	132.3	127	18	30	4	89	65	60	1.19
6	진명호	롯데	4.38	60	5	4	1	9	0.556	61.6	53	7	46	1	65	34	30	1.61
7	윤길현	롯데	4.64	32	1	2	0	4	0.333	33	33	4	15	0	29	18	17	1.45
8	장시환	롯데	4.66	32	1	0	0	2	1.000	36.6	39	5	19	3	44	23	19	1.58
9	레일리	롯데	4.74	30	11	13	0	0	0.458	178.3	180	24	54	18	178	106	94	1.31
10	듀브론트	롯데	4.92	25	6	9	0	0	0.400	137.3	162	13	62	8	109	82	75	1.63
11	이명우	롯데	5.32	59	0	1	0	2	0.000	44	59	1	9	0	25	36	26	1.55
12	배장호	롯데	5.92	25	1	1	0	0	0.500	24.3	29	3	10	2	13	18	16	1.60
13	송승준	롯데	6.15	22	3	4	0	0	0.429	79	93	8	35	4	68	58	54	1.62
14	정성종	롯데	6.16	10	0	1	0	0	0.000	19	19	2	8	1	12	13	13	1.42
15	박진형	롯데	6.23	13	3	2	0	1	0.600	13	23	1	8	1	11	12	9	2.38
16	윤성빈	롯데	6.39	18	2	5	0	0	0.286	50.6	51	5	36	3	65	36	36	1.72
17	정태승	롯데	6.75	3	0	0	0	0	-	2.6	4	0	3	0	3	4	2	2.63
18	김원중	롯데	6.94	30	8	7	0	0	0.533	145.3	173	28	77	11	137	115	112	1.72
19	고효준	롯데	6.96	43	2	3	0	7	0.400	32.3	33	3	23	0	39	27	25	1.73
20	박시영	롯데	8.54	21	0	0	0	0	-	26.3	35	6	14	1	19	27	25	1.86
21	박세웅	롯데	9.92	14	1	5	0	0	0.167	49	83	10	29	4	40	54	54	2.29
22	홍성민	롯데	12.27	4	0	0	0	0	-	3.6	6	1	1	0	3	5	5	1.91
23	김대우	롯데	13.50	5	0	0	0	0	-	3.3	8	2	1	0	2	5	5	2.70
23	조무근	롯데	13.50	2	1	0	0	0	1.000	0.6	2	0	1	2	1	1	1	4.50
25	조정훈	롯데	16.62	7	0	0	0	0	-	4.3	6	0	4	2	5	13	8	2.31
