순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	린드블럼	두산	2.88	26	15	4	0	0	0.789	168.6	142	16	38	8	157	56	54	1.07
2	함덕주	두산	2.96	62	6	3	27	3	0.667	67	58	4	37	4	75	23	22	1.42
3	박신지	두산	3.00	17	1	2	0	0	0.333	21	14	4	9	1	16	7	7	1.10
4	김승회	두산	3.46	55	3	4	3	11	0.429	54.6	54	6	23	5	34	26	21	1.41
5	이용찬	두산	3.63	25	15	3	0	0	0.833	144	151	14	36	8	102	62	58	1.30
6	박치국	두산	3.63	67	1	5	3	17	0.167	67	80	5	15	9	60	30	27	1.42
7	김정후	두산	3.63	13	0	1	0	0	0.000	17.3	12	3	12	1	12	8	7	1.38
8	후랭코프	두산	3.74	28	18	3	0	0	0.857	149.3	118	12	55	22	134	64	62	1.16
9	홍상삼	두산	4.30	17	1	0	0	0	1.000	14.6	13	1	12	2	13	7	7	1.70
10	김강률	두산	4.62	65	5	0	6	11	1.000	76	72	7	24	3	81	42	39	1.26
11	이현승	두산	4.99	39	1	0	0	6	1.000	30.6	39	4	14	1	21	18	17	1.73
12	이영하	두산	5.28	40	10	3	0	2	0.769	122.6	140	15	54	9	90	75	72	1.58
13	강동연	두산	5.40	8	1	0	0	0	1.000	11.6	10	2	5	0	5	8	7	1.29
14	이현호	두산	6.11	15	0	0	1	0	-	28	37	4	13	1	23	19	19	1.79
15	유희관	두산	6.70	29	10	10	0	0	0.500	141	197	23	42	4	81	108	105	1.70
16	한주성	두산	6.75	3	0	0	0	0	-	4	8	0	1	1	1	3	3	2.25
17	유재유	두산	7.11	5	0	1	0	0	0.000	6.3	11	1	3	3	5	5	5	2.21
18	현도훈	두산	7.27	3	0	1	0	0	0.000	8.6	11	2	6	1	5	7	7	1.96
19	곽빈	두산	7.55	32	3	1	1	4	0.750	31	44	6	17	3	26	26	26	1.97
20	박성모	두산	9.00	2	0	1	0	0	0.000	2	4	1	0	1	1	2	2	2.00
21	윤수호	두산	9.24	17	0	1	0	0	0.000	25.3	33	4	17	1	19	31	26	1.97
22	장원준	두산	9.92	24	3	7	0	2	0.300	71.6	101	12	33	11	46	81	79	1.87
23	변진수	두산	10.13	10	0	0	0	0	-	10.6	16	2	2	4	8	12	12	1.69
24	최원준	두산	10.61	6	0	0	0	0	-	9.3	22	2	0	5	5	16	11	2.36
25	최대성	두산	11.70	8	0	0	0	0	-	10	15	3	8	0	10	13	13	2.30
26	장민익	두산	27.00	3	0	0	0	0	-	2	5	3	2	1	2	6	6	3.50
26	허준혁	두산	27.00	1	0	1	0	0	0.000	1.6	4	0	3	0	1	5	5	4.20
28	김민규	두산	54.00	1	0	0	0	0	-	0.3	1	0	2	0	0	2	2	9.00
