순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김태균	한화	0.305	127	500	433	47	132	21	0	6	171	62	0	8
2	이동훈	한화	0.290	14	31	31	3	9	1	0	0	10	4	0	0
3	최재훈	한화	0.290	135	451	373	47	108	18	0	3	135	31	4	4
4	호잉	한화	0.284	124	525	476	74	135	26	2	18	219	73	1	5
5	정근우	한화	0.278	88	305	277	37	77	10	1	3	98	30	3	1
6	송광민	한화	0.264	122	486	454	50	120	21	0	7	162	51	3	5
7	하주석	한화	0.263	5	20	19	3	5	2	0	0	7	2	1	0
8	정은원	한화	0.262	142	624	564	83	148	27	6	8	211	57	6	6
9	이성열	한화	0.256	129	476	414	60	106	21	1	21	192	85	1	4
10	김민하	한화	0.256	72	140	125	14	32	6	0	2	44	14	2	1
11	장진혁	한화	0.254	113	349	315	42	80	16	5	1	109	24	2	1
12	김태연	한화	0.250	9	6	4	0	1	1	0	0	2	0	0	0
12	지성준	한화	0.250	58	109	104	7	26	6	0	2	38	11	0	0
12	최윤석	한화	0.250	7	15	12	3	3	0	0	0	3	1	0	0
15	강경학	한화	0.239	52	135	113	21	27	4	0	0	31	12	3	1
16	김회성	한화	0.231	58	117	104	7	24	4	0	3	37	18	1	1
16	최진행	한화	0.231	45	129	117	10	27	6	0	6	51	19	0	1
18	백창수	한화	0.227	16	48	44	4	10	3	0	0	13	3	2	0
19	변우혁	한화	0.226	29	61	53	7	12	1	0	1	16	2	0	0
20	오선진	한화	0.224	122	453	392	37	88	16	0	3	113	36	10	3
21	김인환	한화	0.214	18	46	42	1	9	1	0	0	10	2	0	2
22	김종민	한화	0.200	10	21	20	2	4	0	0	1	7	1	1	0
23	노시환	한화	0.186	91	192	177	19	33	8	1	1	46	13	1	1
24	박한결	한화	0.182	9	11	11	0	2	0	0	0	2	0	0	0
25	양성우	한화	0.168	56	129	119	11	20	3	0	1	26	6	1	0
26	유장혁	한화	0.164	38	61	55	10	9	1	0	1	13	4	0	1
27	이창열	한화	0.154	11	16	13	3	2	0	0	0	2	1	1	0
28	장운호	한화	0.100	7	12	10	2	1	0	0	0	1	0	1	0
29	김경태	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
29	김종수	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
