순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	민병헌	롯데	0.304	101	420	369	52	112	24	2	9	167	43	1	3
2	전준우	롯데	0.301	141	606	545	85	164	30	1	22	262	83	1	7
3	손아섭	롯데	0.295	134	568	512	78	151	22	1	10	205	63	1	2
4	이대호	롯데	0.285	135	549	485	48	138	23	1	16	211	88	0	7
5	김동한	롯데	0.282	42	85	78	9	22	4	0	0	26	2	1	0
6	정준혁	롯데	0.273	6	11	11	1	3	0	0	0	3	1	0	0
7	신본기	롯데	0.256	121	413	375	43	96	9	0	1	108	26	5	1
8	허일	롯데	0.255	71	162	149	14	38	4	0	1	45	17	0	0
9	고승민	롯데	0.253	30	89	83	7	21	6	2	0	31	6	1	1
10	아수아헤	롯데	0.252	49	194	163	34	41	5	4	2	60	21	3	1
11	채태인	롯데	0.251	59	182	167	11	42	11	0	5	68	29	0	2
12	윌슨	롯데	0.251	68	268	231	21	58	15	0	9	100	37	0	1
13	문규현	롯데	0.250	40	72	64	7	16	2	0	0	18	10	2	3
14	김문호	롯데	0.243	51	109	103	6	25	7	0	0	32	4	1	1
15	강로한	롯데	0.240	104	306	288	38	69	15	6	4	108	25	1	1
16	김민수	롯데	0.235	11	37	34	0	8	3	0	0	11	1	0	0
17	정훈	롯데	0.226	88	222	190	26	43	4	1	2	55	17	3	1
18	오윤석	롯데	0.222	76	228	198	21	44	2	0	1	49	21	4	4
19	배성근	롯데	0.205	36	48	44	4	9	1	0	0	10	2	0	0
20	한동희	롯데	0.203	59	207	187	12	38	9	0	2	53	9	0	2
21	나경민	롯데	0.200	45	49	45	10	9	0	2	0	13	7	0	0
22	안중열	롯데	0.191	73	145	136	10	26	6	1	2	40	4	1	0
23	김준태	롯데	0.159	43	104	88	10	14	3	0	0	17	8	2	0
24	이병규	롯데	0.158	8	22	19	1	3	2	0	0	5	0	0	0
25	정보근	롯데	0.125	15	35	32	3	4	0	0	0	4	1	0	0
26	나종덕	롯데	0.124	104	209	185	12	23	4	0	3	36	13	7	2
27	조홍석	롯데	0.117	42	65	60	8	7	2	1	0	11	5	0	1
28	신용수	롯데	0.100	17	20	20	4	2	0	0	1	5	2	0	0
29	전병우	롯데	0.098	29	55	51	2	5	1	0	0	6	0	1	0
30	고효준	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
