순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	채은성	LG	0.315	128	514	470	59	148	18	1	12	204	72	0	8
2	이천웅	LG	0.308	138	613	546	88	168	24	3	2	204	48	4	1
3	김현수	LG	0.304	140	595	526	75	160	37	0	11	230	82	0	9
4	페게로	LG	0.286	52	214	199	24	57	10	0	9	94	44	0	1
5	이형종	LG	0.286	120	482	419	56	120	24	1	13	185	63	1	10
6	박용택	LG	0.282	64	215	195	19	55	9	0	1	67	22	0	2
7	조셉	LG	0.274	55	217	197	17	54	3	0	9	84	36	0	2
8	유강남	LG	0.270	132	468	418	44	113	22	0	16	183	49	1	6
9	김민성	LG	0.260	107	401	361	44	94	16	0	8	134	50	5	1
10	오지환	LG	0.252	134	547	473	63	119	23	5	9	179	53	7	3
11	홍창기	LG	0.250	23	26	24	3	6	2	0	0	8	0	0	0
12	전민수	LG	0.240	75	106	96	8	23	7	0	0	30	8	1	0
13	서상우	LG	0.238	13	24	21	2	5	1	0	0	6	1	0	0
14	신민재	LG	0.235	81	94	81	25	19	3	0	0	22	5	1	1
15	정주현	LG	0.231	129	425	376	53	87	19	2	2	116	27	16	1
16	김용의	LG	0.218	114	210	179	35	39	5	3	0	50	17	4	1
17	김재성	LG	0.200	3	7	5	0	1	0	0	0	1	1	0	0
18	류형우	LG	0.182	10	12	11	2	2	0	0	0	2	1	0	0
19	구본혁	LG	0.176	57	95	85	10	15	1	0	1	19	6	1	1
20	백승현	LG	0.167	14	30	30	1	5	1	0	0	6	0	0	0
21	이성우	LG	0.156	55	74	64	2	10	3	0	0	13	6	3	0
22	양종민	LG	0.136	18	49	44	1	6	2	0	0	8	5	2	1
23	김재율	LG	0.111	4	9	9	0	1	0	0	0	1	0	0	0
24	윤진호	LG	0.102	106	62	59	6	6	2	0	1	11	5	2	0
25	박지규	LG	0.091	10	18	11	2	1	0	0	0	1	1	1	0
26	정상호	LG	0.083	22	24	24	1	2	1	0	0	3	2	0	0
27	고우석	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
27	문광은	LG	-	2	0	0	0	0	0	0	0	0	0	0	0
27	양원혁	LG	-	1	0	0	1	0	0	0	0	0	0	0	0
27	여건욱	LG	-	3	0	0	0	0	0	0	0	0	0	0	0
