순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	안치홍	KIA	0.315	105	408	362	45	114	18	1	5	149	49	0	5
2	터커	KIA	0.311	95	399	357	50	111	33	0	9	171	50	0	1
3	황윤호	KIA	0.301	57	130	123	9	37	5	2	1	49	9	1	1
4	최형우	KIA	0.300	136	555	456	65	137	31	1	17	221	86	0	7
5	한준수	KIA	0.300	7	20	20	2	6	2	0	0	8	2	0	0
6	김주찬	KIA	0.300	100	363	337	35	101	16	0	3	126	32	1	3
7	김선빈	KIA	0.292	121	447	394	55	115	22	0	3	146	40	5	4
8	유민상	KIA	0.291	61	202	175	23	51	15	0	5	81	26	0	0
9	이정훈	KIA	0.286	7	15	14	0	4	1	0	0	5	3	0	1
9	최정용	KIA	0.286	8	21	21	4	6	0	0	0	6	1	0	0
11	이창진	KIA	0.270	133	470	400	57	108	25	1	6	153	48	4	5
12	박찬호	KIA	0.260	133	541	504	60	131	15	4	2	160	49	5	2
13	유재신	KIA	0.255	71	59	51	17	13	2	1	0	17	6	1	1
14	류승현	KIA	0.253	57	163	150	14	38	8	1	0	48	14	0	0
15	백용환	KIA	0.234	28	51	47	3	11	2	0	2	19	6	0	0
16	이범호	KIA	0.231	19	31	26	1	6	1	0	1	10	5	0	2
17	고장혁	KIA	0.226	22	32	31	2	7	0	1	0	9	3	0	0
18	한승택	KIA	0.223	105	288	251	22	56	9	1	3	76	27	7	2
19	이우성	KIA	0.219	60	168	151	19	33	4	0	6	55	22	1	2
20	신범수	KIA	0.211	39	65	57	4	12	5	0	2	23	7	0	0
20	홍재호	KIA	0.211	10	20	19	2	4	0	0	0	4	0	0	0
22	황대인	KIA	0.200	12	28	25	0	5	2	0	0	7	0	0	0
23	최원준	KIA	0.198	90	255	232	33	46	11	3	1	66	18	2	1
24	이인행	KIA	0.188	9	20	16	1	3	1	0	0	4	2	1	0
25	나지완	KIA	0.186	56	153	129	12	24	5	0	6	47	17	0	2
26	박준태	KIA	0.171	38	47	41	13	7	3	0	0	10	4	0	2
27	김민식	KIA	0.167	53	116	96	6	16	2	0	0	18	14	0	2
28	문선재	KIA	0.163	29	61	49	7	8	0	0	3	17	6	0	2
29	오선우	KIA	0.151	27	57	53	5	8	1	1	1	14	4	0	0
30	해즐베이커	KIA	0.146	11	46	41	5	6	2	0	2	14	5	0	0
