순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	이정후	키움	0.336	140	630	574	91	193	31	10	6	262	68	3	4
2	김하성	키움	0.307	139	625	540	112	166	38	2	19	265	104	1	7
3	샌즈	키움	0.305	139	613	525	100	160	39	1	28	285	113	0	5
4	서건창	키움	0.300	113	486	426	67	128	23	3	2	163	41	3	5
5	박동원	키움	0.297	112	361	317	50	94	15	1	10	141	55	7	1
6	이지영	키움	0.282	106	331	308	40	87	5	1	1	97	39	6	1
7	박병호	키움	0.280	122	532	432	92	121	22	0	33	242	98	0	9
8	김혜성	키움	0.276	122	387	348	57	96	16	7	0	126	32	4	4
9	김웅빈	키움	0.273	4	11	11	1	3	1	0	0	4	3	0	0
10	김지수	키움	0.267	69	32	30	3	8	2	0	0	10	3	0	0
11	김규민	키움	0.248	94	250	222	33	55	8	1	3	74	24	0	2
12	장영석	키움	0.247	119	413	372	41	92	15	0	7	128	62	0	5
13	임병욱	키움	0.243	117	419	379	39	92	17	5	0	119	41	6	0
14	허정협	키움	0.235	37	77	68	3	16	1	0	0	17	8	0	1
15	송성문	키움	0.227	103	335	308	33	70	12	5	3	101	34	4	4
16	주효상	키움	0.207	18	30	29	3	6	2	1	0	10	5	0	0
17	박정음	키움	0.197	60	88	71	13	14	2	1	0	18	7	1	0
18	예진원	키움	0.167	2	8	6	1	1	1	0	0	2	1	0	0
19	임지열	키움	0.133	11	18	15	0	2	1	0	0	3	3	1	0
20	김은성	키움	0.125	5	10	8	1	1	0	0	0	1	0	0	0
21	김주형	키움	0.000	3	1	1	0	0	0	0	0	0	0	0	0
21	윤영삼	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
21	추재현	키움	0.000	1	1	1	0	0	0	0	0	0	0	0	0
